star,sample,lT,lL,tier,alpha0,nuchar,gamma,vsini,a0_ok,sys_nu,sys_a0,ev_tau,ev_logM,ev_logR,ev_phase,ev_Mini,ev_dist,ev_M,ev_R,f_rot,log_alpha0,log_nuchar,rotmod_candidate
HD 54879,Bowman2020_Galactic,4.52,3.16,A,32.96,1.26842,3.41894,7.0,True,0.0,0.0,0.002406274996500217,1.228136919215209,0.7070137235884227,0.0,16.914571575939405,0.5177824829591731,16.909739578368043,5.09346966029562,0.027164154204491225,1.5179872030250783,0.10326308121153148,False
BD +36 4145,Shen2024_Galactic,4.553883026643875,3.75,A,208.88,3.97,1.985,,True,0.0,0.0,0.6435400859009561,1.4402862825486047,1.0117273196316183,0.0,28.623699943719497,0.20305999015342624,27.56044861691906,10.273710403790549,,2.319896858814888,0.5987905067631151,False
BD +62 2078,Shen2024_Galactic,4.587710965018911,3.74,A,283.13,0.24,1.11,38.0,True,0.0,0.0,0.44388637411615933,1.4926640138624827,0.9629525107610972,0.0,32.0,0.09151829271000983,31.093099301980423,9.182321841283999,0.08179805114076796,2.4519858889489092,-0.619788758288394,False
HD 101190,Shen2024_Galactic,4.599883072073688,3.91,A,149.41,4.08,2.26,74.0,True,0.0,0.0,0.586504652052853,1.5687627612925166,1.0593878621245436,0.0,39.498789900686354,0.083970096986306,37.04782881706889,11.465364394640387,0.12757210697377241,2.174379665748987,0.6106601630898799,False
HD 101223,Shen2024_Galactic,4.546542663478131,3.96,A,165.115,4.325,2.3049999999999997,63.0,True,0.0,0.0,0.7930667827402664,1.536088227798784,1.178079994938694,0.0,37.690249511395415,0.09781943931557674,34.36277494789338,15.06884601465881,0.08263659714766185,2.2177865288734293,0.6359861118008331,False
HD 14434,Shen2024_Galactic,4.586587304671755,3.78,A,410.14,5.49,2.49,,True,0.0,0.0,0.5153893510287965,1.5009468881294568,0.9910568381124018,0.0,32.90285271986038,0.23757060696924395,31.691798657550812,9.796181841480676,,2.612932127083471,0.7395723444500919,False
HD 149038,Shen2024_Galactic,4.474216264076255,4.11,A,3354.41,0.49,1.66,90.0,True,0.0,0.0,0.9877798200243489,1.5397990819597227,1.3995938542165995,0.0,39.59191675501993,0.026297518055812687,34.657647637659394,25.095384504980366,0.0708860090727829,3.5256161440945175,-0.3098039199714863,False
HD 15629,Shen2024_Galactic,4.6211762817750355,4.08,A,438.36,3.49,2.17,64.0,True,0.0,0.0,0.6558295197430501,1.697005212061186,1.1712072870984997,0.0,56.82521695202174,0.24407433439188722,49.77430584642475,14.832258542634985,0.08528733766327308,2.6418309182595414,0.5428254269591799,False
HD 188209,Shen2024_Galactic,4.478566495593843,4.26,A,10333.025,0.255,1.44,93.0,True,0.0,0.0,0.936146132063726,1.6788562928909103,1.5357459362410113,0.0,62.278521806821104,0.2908411390524819,47.73712863893528,34.3357024100256,0.05353636535164577,4.014227480134309,-0.5934598195660448,False
HD 191978,Shen2024_Galactic,4.553883026643875,3.8,A,179.64,1.435,1.4449999999999998,82.0,True,0.0,0.0,0.6939363277410057,1.4613117338323467,1.0494964110772969,0.0,30.349478350066576,0.09204504640867822,28.927555389599483,11.207181647077048,0.14462031797248487,2.254403046390677,0.15685190107001115,False
