key,vmac,vsini,vmac_src,SpType,logTeff_sp,logL_sp,logg_sp
HD209008,22.0,19.0,SimonDiaz2017,B3 III,4.16,2.59,
HD209339,67.0,102.0,SimonDiaz2017,O9.7 IV,4.51,3.61,
HD209419,21.0,16.0,SimonDiaz2017,B5 III,4.15,2.36,
HD209975,92.0,52.0,SimonDiaz2017,O9 Ib,4.52,4.09,
HD210191,25.0,12.0,SimonDiaz2017,B2.5 IV,4.28,3.21,
HD210424,20.0,19.0,SimonDiaz2017,B7 III,4.11,2.16,
HD21071,18.0,67.0,SimonDiaz2017,B7 V,4.14,2.22,
HD210809,112.0,65.0,SimonDiaz2017,O9 Iab,4.52,4.09,
HD212097,40.0,72.0,SimonDiaz2017,B9 III,,,
HD212222,25.0,34.0,SimonDiaz2017,B5 V,4.13,2.21,
HD212593,33.0,25.0,SimonDiaz2017,B9 Iab,4.09,3.77,
HD21278,30.0,50.0,SimonDiaz2017,B4 V,4.19,2.52,
HD21279,59.0,175.0,SimonDiaz2017,B8.5 V,,,
HD212883,12.0,9.0,SimonDiaz2017,B2 V,4.29,2.8,
HD21291,29.0,41.0,SimonDiaz2017,B9 Ia,4.05,4.09,
HD212978,32.0,125.0,SimonDiaz2017,B1.5 V,4.25,3.07,
HD212986,22.0,27.0,SimonDiaz2017,B7 III,4.16,2.27,
HD213087,91.0,56.0,SimonDiaz2017,B0.5 Ib,4.44,4.0,
HD213420,33.0,56.0,SimonDiaz2017,B2 IV,4.3,3.38,
HD214263,5.0,83.0,SimonDiaz2017,B2 V,4.31,2.82,
HD214432,83.0,136.0,SimonDiaz2017,B3 V,4.25,2.46,
HD214680,41.0,16.0,SimonDiaz2017,O9 V,4.55,3.67,
HD21483,45.0,129.0,SimonDiaz2017,B3 III,4.23,3.06,
HD214923,34.0,162.0,SimonDiaz2017,B8 V,,,
HD216411,72.0,52.0,SimonDiaz2017,B0.7 Ia,4.33,4.44,
HD216538,21.0,18.0,SimonDiaz2017,B7 III,4.11,2.34,
HD216831,17.0,67.0,SimonDiaz2017,B7 III,4.09,2.17,
HD216898,47.0,44.0,SimonDiaz2017,O9 V,4.56,3.4,
HD217348,43.0,168.0,SimonDiaz2017,B7 III,4.08,2.52,
HD218195A,67.0,52.0,SimonDiaz2017,O8.5 III Nstr,4.54,3.97,
HD218376,54.0,30.0,SimonDiaz2017,B0.5 III,4.43,3.52,
HD218407,2.0,156.0,SimonDiaz2017,B2 V,4.26,2.78,
