star,sample,galaxy,Z_proxy,logTeff,logg,logL_spec,logL_class,vsini,vmac,nuchar,alpha0,gamma,Cw,alpha0_kind,SpType,mass,tau,n_sect,ref,key,log_nuchar,log_alpha0,logL_use,dup_B2020_Shen
HD 54764,Bowman2020_Galactic,MW,0.014,4.3,,3.97,,123.0,87.0,0.96136,1949.927,2.04624,10.902,amplitude_umag,B1 II,,,,prior,HD54764,-0.017113951835696455,3.2900183528545086,3.97,False
HD 52089,Bowman2020_Galactic,MW,0.014,4.34,,3.6,,26.0,50.0,1.30671,222.135,1.63586,2.109,amplitude_umag,B2 II,,,,prior,HD52089,0.11617921468510543,2.3466169921788635,3.6,False
HD 51309,Bowman2020_Galactic,MW,0.014,4.2,,3.64,,27.0,43.0,0.66617,1572.988,2.15494,5.917,amplitude_umag,B3 II,,,,prior,HD51309,-0.17641492902673936,3.196725409493178,3.64,False
HD 46769,Bowman2020_Galactic,MW,0.014,4.11,,3.16,,70.0,23.0,1.02897,6.763,2.76723,3.139,amplitude_umag,B5 II,,,,prior,HD46769,0.012402712931154488,0.8301393874253428,3.16,False
HD 27563,Bowman2020_Galactic,MW,0.014,4.16,,2.61,,34.0,26.0,0.97211,264.68,3.49058,3.479,amplitude_umag,B7 II,,,,prior,HD27563,-0.012284589302076338,2.4227211259715578,2.61,False
HD 53244,Bowman2020_Galactic,MW,0.014,4.14,,2.74,,36.0,21.0,0.79102,10.428,3.30717,1.444,amplitude_umag,B8 II,,,,prior,HD53244,-0.1018125357440037,1.0182010224962914,2.74,False
HD 37128,Bowman2020_Galactic,MW,0.014,4.47,,4.05,,55.0,85.0,0.87736,2562.785,2.28089,19.682,amplitude_umag,B0 Ia,,,,prior,HD37128,-0.05682216953817564,3.4087121733983725,4.05,False
HD 38771,Bowman2020_Galactic,MW,0.014,4.47,,4.06,,53.0,83.0,0.87575,1159.94,1.91176,8.819,amplitude_umag,B0.5 Ia,,,,prior,HD38771,-0.05761985401026997,3.064435525138261,4.06,False
HD 53138,Bowman2020_Galactic,MW,0.014,4.23,,4.13,,37.0,56.0,0.44918,1313.016,2.39756,5.089,amplitude_umag,B3 Iab,,,,prior,HD53138,-0.3475795891937662,3.118270018297684,4.13,False
HD 39985,Bowman2020_Galactic,MW,0.014,4.11,,2.34,,26.0,28.0,1.02655,8.6,1.82852,3.579,amplitude_umag,B9 Ib,,,,prior,HD39985,0.011380107330827807,0.9344984512435677,2.34,False
HD 37061,Bowman2020_Galactic,MW,0.014,4.49,,3.07,,210.0,93.0,1.64256,34.886,2.41671,3.237,amplitude_umag,O9.5 V,,,,prior,HD37061,0.2155212425806687,1.5426511764554052,3.07,False
HD 37742,Bowman2020_Galactic,MW,0.014,4.47,,4.15,,122.0,97.0,1.41864,829.56,2.41592,7.544,amplitude_umag,O9.2 Ib var Nwk,,,,prior,HD37742,0.1518722010604934,2.918847802930058,4.15,False
HD 57682,Bowman2020_Galactic,MW,0.014,4.54,,3.62,,12.0,38.0,1.11609,159.073,1.16316,3.029,amplitude_umag,O9.2 IV,,,,prior,HD57682,0.047699216937928536,2.201596471625854,3.62,False
HD 54879,Bowman2020_Galactic,MW,0.014,4.52,,3.16,,7.0,10.0,1.26842,32.96,3.41894,5.871,amplitude_umag,O9.7 V,,,,prior,HD54879,0.10326308121153148,1.5179872030250783,3.16,False
AzV 16,Bowman2024_SMC,SMC,0.002,4.434568904034199,,,5.75,,,0.33,0.00243,,3.29e-07,PSDmax_proxy_mmag2d,,,,,prior,AZV16,-0.4814860601221125,-2.614393726401688,5.75,False
AzV 18,Bowman2024_SMC,SMC,0.002,4.278753600952829,,,5.44,,,0.35,0.00106,,2.57e-07,PSDmax_proxy_mmag2d,,,,,prior,AZV18,-0.4559319556497244,-2.9746941347352296,5.44,False
AzV 83,Bowman2024_SMC,SMC,0.002,4.515873843711679,,,5.54,,,0.88,0.000769,,4.74e-06,PSDmax_proxy_mmag2d,,,,,prior,AZV83,-0.05551732784983137,-3.114073660198569,5.54,False
