star,sample,galaxy,Z_proxy,logTeff,logg,logL_spec,logL_class,vsini,vmac,nuchar,alpha0,gamma,Cw,alpha0_kind,SpType,mass,tau,n_sect,ref,key,log_nuchar,log_alpha0,logL_use,dup_B2020_Shen
202061242,Bowman2019b_K2,MW,0.014,,,,,,,1.89463,38.246,1.11123,4.37,amplitude_ppm_nominal,B4IV,,,,Bowman2019b,202061242,0.2775244097406827,1.5825860206983482,,False
202061244,Bowman2019b_K2,MW,0.014,,,,,,,5.01386,17.907,4.86853,8.002,amplitude_ppm_nominal,B4.5III-IV,,,,Bowman2019b,202061244,0.7001722031610245,1.2530228336113367,,False
202061245,Bowman2019b_K2,MW,0.014,,,,,,,2.73108,8.532,1.79477,6.981,amplitude_ppm_nominal,B9.5III,,,,Bowman2019b,202061245,0.43633442187158444,0.9310508467773911,,False
202061248,Bowman2019b_K2,MW,0.014,,,,,,,1.71996,9.446,2.95108,5.907,amplitude_ppm_nominal,B3IV,,,,Bowman2019b,202061248,0.23551834691843454,0.9752479412406811,,False
202061249,Bowman2019b_K2,MW,0.014,,,,,,,1.01052,45.424,1.56825,12.005,amplitude_ppm_nominal,B5III-IV,,,,Bowman2019b,202061249,0.004544913401726439,1.657285375181782,,False
202061250,Bowman2019b_K2,MW,0.014,,,,,,,3.62586,4.744,9.02254,12.243,amplitude_ppm_nominal,B2.5IV,,,,Bowman2019b,202061250,0.5594110313090581,0.6761446803562061,,False
202061251,Bowman2019b_K2,MW,0.014,,,,,,,2.50837,74.722,2.0316,8.303,amplitude_ppm_nominal,B7IV,,,,Bowman2019b,202061251,0.39939159799058344,1.8734484876510977,,False
202061252,Bowman2019b_K2,MW,0.014,,,,,,,2.48461,25.349,1.92098,6.672,amplitude_ppm_nominal,B2.5IV,,,,Bowman2019b,202061252,0.3952582288277746,1.403960831399213,,False
202061253,Bowman2019b_K2,MW,0.014,,,,,,,2.83965,35.023,1.00448,10.174,amplitude_ppm_nominal,B3III,,,,Bowman2019b,202061253,0.4532648145414665,1.5443533441358603,,False
202061255,Bowman2019b_K2,MW,0.014,,,,,,,1.90259,124.666,0.98727,19.024,amplitude_ppm_nominal,B3IV,,,,Bowman2019b,202061255,0.2793452097679108,2.0957480250442235,,False
202622118,Bowman2019b_K2,MW,0.014,,,,,,,2.21557,15.073,2.21786,4.164,amplitude_ppm_nominal,B9III,,,,Bowman2019b,202622118,0.34548547593543977,1.1781996991480599,,False
202691120,Bowman2019b_K2,MW,0.014,,,,,,,1.67978,172.423,1.54175,51.002,amplitude_ppm_nominal,OB,,,,Bowman2019b,202691120,0.22525240610534292,2.23659519714321,,False
202701626,Bowman2019b_K2,MW,0.014,,,,,,,3.39299,14.81,1.83294,12.784,amplitude_ppm_nominal,B9III/IV,,,,Bowman2019b,202701626,0.5305825796712837,1.1705550585212086,,False
202929357,Bowman2019b_K2,MW,0.014,,,,,,,,,,93.792,amplitude_ppm_nominal,OB,,,,Bowman2019b,202929357,,,,False
203010516,Bowman2019b_K2,MW,0.014,,,,,,,2.7145,10.4,2.30165,4.358,amplitude_ppm_nominal,B9III,,,,Bowman2019b,203010516,0.43368984599169863,1.0170333392987803,,False
203072804,Bowman2019b_K2,MW,0.014,,,,,,,2.58476,7.296,4.19878,4.023,amplitude_ppm_nominal,B9III/IV,,,,Bowman2019b,203072804,0.4124202242135135,0.8630848253203598,,False
203615859,Bowman2019b_K2,MW,0.014,,,,,,,1.18652,21.13,0.69126,6.334,amplitude_ppm_nominal,B8II,,,,Bowman2019b,203615859,0.074275063089753,1.3248994970523134,,False
203649927,Bowman2019b_K2,MW,0.014,,,,,,,3.05421,13.435,2.63287,7.243,amplitude_ppm_nominal,B8II,,,,Bowman2019b,203649927,0.4848988947720462,1.1282376707691872,,False
203761347,Bowman2019b_K2,MW,0.014,,,,,,,2.67273,28.014,2.18892,6.903,amplitude_ppm_nominal,B5III,,,,Bowman2019b,203761347,0.4269550884113408,1.4473751243144495,,False
203794158,Bowman2019b_K2,MW,0.014,,,,,,,0.42446,76.554,1.23099,17.191,amplitude_ppm_nominal,B9III/IV,,,,Bowman2019b,203794158,-0.3721632302675808,1.8839678878173294,,False
204022485,Bowman2019b_K2,MW,0.014,,,,,,,2.78796,8.288,0.80865,2.512,amplitude_ppm_nominal,B8II,,,,Bowman2019b,204022485,0.4452865384704856,0.9184497424011578,,False
204453206,Bowman2019b_K2,MW,0.014,,,,,,,1.61463,17.737,2.08885,3.607,amplitude_ppm_nominal,B9.5III/IV,,,,Bowman2019b,204453206,0.20807301746079948,1.2488801660242859,,False
204550234,Bowman2019b_K2,MW,0.014,,,,,,,1.46636,54.952,3.87224,7.272,amplitude_ppm_nominal,B2III,,,,Bowman2019b,204550234,0.16624060524370515,1.7399835033683773,,False
205417334,Bowman2019b_K2,MW,0.014,,,,,,,4.21237,16.348,2.29296,9.938,amplitude_ppm_nominal,B9.5III,,,,Bowman2019b,205417334,0.6245265111129068,1.2134646290395559,,False
221230980,Bowman2019b_K2,MW,0.014,,,,,,,1.23457,5.887,1.6617,1.792,amplitude_ppm_nominal,B9.5III,,,,Bowman2019b,221230980,0.09151571942134192,0.769894035812169,,False
221807806,Bowman2019b_K2,MW,0.014,,,,,,,5.10528,1.454,4.86211,3.089,amplitude_ppm_nominal,B9III,,,,Bowman2019b,221807806,0.7080195660351166,0.162564406523019,,False
222808946,Bowman2019b_K2,MW,0.014,4.480006942957151,3.22,4.090968864483341,,107.0,91.0,2.2971,187.724,1.23453,12.038,amplitude_ppm_nominal,O9.5IVp,,,,Bowman2019b,222808946,0.3611799018136008,2.2735197995326777,4.090968864483341,False
223207465,Bowman2019b_K2,MW,0.014,,,,,,,1.1967,54.271,8.14821,5.26,amplitude_ppm_nominal,B5II,,,,Bowman2019b,223207465,0.07798529102950204,1.7345678239837643,,False
223217668,Bowman2019b_K2,MW,0.014,,,,,,,1.51604,1133.519,2.69358,98.75,amplitude_ppm_nominal,O9Ib,,,,Bowman2019b,223217668,0.18071066010217,3.0544288041502288,,False
223276071,Bowman2019b_K2,MW,0.014,,,,,,,3.1754,20.849,2.98061,6.922,amplitude_ppm_nominal,B3II,,,,Bowman2019b,223276071,0.5017984404471526,1.3190852293386985,,False
223432523,Bowman2019b_K2,MW,0.014,,,,,,,1.12189,14.031,1.1764,1.571,amplitude_ppm_nominal,B9III,,,,Bowman2019b,223432523,0.04995027694247204,1.1470886246281666,,False
223832867,Bowman2019b_K2,MW,0.014,4.399673721481038,3.61,3.3796359785788908,,20.0,32.0,11.20199,73.422,12.6157,33.832,amplitude_ppm_nominal,B2Ib/II,,,,Bowman2019b,223832867,1.0492951806388497,1.8658262104204006,3.3796359785788908,False
223956110,Bowman2019b_K2,MW,0.014,,,,,,,1.1127,889.325,2.27642,54.307,amplitude_ppm_nominal,B0Ia(n),,,,Bowman2019b,223956110,0.04637808804827259,2.949060501029753,,False
224112121,Bowman2019b_K2,MW,0.014,,,,,,,2.05694,5.69,2.10315,4.501,amplitude_ppm_nominal,B9III,,,,Bowman2019b,224112121,0.3132216237078715,0.7551122663950712,,False
224206658,Bowman2019b_K2,MW,0.014,,,,,,,1.94683,35.372,1.58784,6.409,amplitude_ppm_nominal,B9II(pSi),,,,Bowman2019b,224206658,0.2893280299559313,1.548659616343095,,False
224237996,Bowman2019b_K2,MW,0.014,,,,,,,2.98562,24.93,2.47573,10.052,amplitude_ppm_nominal,OB,,,,Bowman2019b,224237996,0.47503453131766044,1.3967222785037734,,False
224400629,Bowman2019b_K2,MW,0.014,,,,,,,0.71321,13.887,1.56609,1.767,amplitude_ppm_nominal,O9.5V+B0V,,,,Bowman2019b,224400629,-0.14678257616077103,1.1426084355024733,,False
224427127,Bowman2019b_K2,MW,0.014,,,,,,,2.93807,303.729,2.49644,24.832,amplitude_ppm_nominal,B2II,,,,Bowman2019b,224427127,0.4680621387148165,2.482486260270895,,False
224754523,Bowman2019b_K2,MW,0.014,,,,,,,2.01559,10.835,1.21257,2.721,amplitude_ppm_nominal,B9III,,,,Bowman2019b,224754523,0.3044021950123715,1.0348289156558368,,False
225068581,Bowman2019b_K2,MW,0.014,,,,,,,2.65967,19.532,1.91977,2.33,amplitude_ppm_nominal,B7III,,,,Bowman2019b,225068581,0.4248277546499622,1.290746715612086,,False
225382260,Bowman2019b_K2,MW,0.014,,,,,,,2.11661,9.212,1.41247,3.287,amplitude_ppm_nominal,B8III(pSi),,,,Bowman2019b,225382260,0.3256408436352711,0.9643539292921935,,False
226030870,Bowman2019b_K2,MW,0.014,4.334453751150931,3.39,3.33875609725846,,74.0,42.0,1.67948,154.342,2.10156,12.179,amplitude_ppm_nominal,B2II,,,,Bowman2019b,226030870,0.2251748364352862,2.1884841236406167,3.33875609725846,False
226504882,Bowman2019b_K2,MW,0.014,4.49,,3.86,,42.0,69.0,1.18862,119.002,1.26083,9.757,amplitude_ppm_nominal,O9.5IV,,,,Bowman2019b,226504882,0.07504303352488484,2.0755542603981176,3.86,False
226552222,Bowman2019b_K2,MW,0.014,,,,,,,0.79828,6.652,0.50582,0.601,amplitude_ppm_nominal,B9III,,,,Bowman2019b,226552222,-0.0978447513483208,0.8229522405474816,,False
226609366,Bowman2019b_K2,MW,0.014,,,,,,,1.40376,57.457,1.99705,6.052,amplitude_ppm_nominal,B3II,,,,Bowman2019b,226609366,0.14729286307492825,1.7593429464478045,,False
226775940,Bowman2019b_K2,MW,0.014,,,,,,,2.32435,20.799,2.13752,9.853,amplitude_ppm_nominal,B2II,,,,Bowman2019b,226775940,0.3663015245891197,1.3180424549184342,,False
226972386,Bowman2019b_K2,MW,0.014,4.318063334962762,3.26,3.403194432505785,,87.0,28.0,1.29841,224.19,2.1199,17.335,amplitude_ppm_nominal,B2Ib,,,,Bowman2019b,226972386,0.11341185164880926,2.3506162369758314,3.403194432505785,False
227024370,Bowman2019b_K2,MW,0.014,,,,,,,1.60984,619.746,1.42587,41.464,amplitude_ppm_nominal,B3II,,,,Bowman2019b,227024370,0.20678271418706132,2.792213732400676,,False
227049676,Bowman2019b_K2,MW,0.014,4.51,,3.91,,76.0,85.0,1.14457,86.07,1.3002,7.473,amplitude_ppm_nominal,O9.2IV,,,,Bowman2019b,227049676,0.05864235855192369,1.9348518029656607,3.91,False
227065848,Bowman2019b_K2,MW,0.014,,,,,,,1.65334,36.593,2.19004,5.809,amplitude_ppm_nominal,B3II,,,,Bowman2019b,227065848,0.21836217295443144,1.5633980156641745,,False
227070958,Bowman2019b_K2,MW,0.014,4.380211241711606,3.06,3.851786059501163,,27.0,70.0,1.62946,294.323,1.43826,10.794,amplitude_ppm_nominal,B1II,,,,Bowman2019b,227070958,0.21204370386682994,2.4688242015586157,3.851786059501163,False
227099784,Bowman2019b_K2,MW,0.014,4.338456493604605,3.32,3.424767067073158,,47.0,51.0,1.56375,253.297,1.86662,15.897,amplitude_ppm_nominal,B2Ib,,,,Bowman2019b,227099784,0.19416732270147635,2.4036300461223234,3.424767067073158,False
227105367,Bowman2019b_K2,MW,0.014,,,,,,,5.10325,5.713,1.25642,0.975,amplitude_ppm_nominal,B9V,,,,Bowman2019b,227105367,0.7078468442407184,0.756864224060549,,False
227115126,Bowman2019b_K2,MW,0.014,4.357934847000454,3.25,3.5726804806565533,,200.0,,1.45824,1633.225,1.79086,124.327,amplitude_ppm_nominal,B2III,,,,Bowman2019b,227115126,0.16382900690235475,3.213046019107284,3.5726804806565533,False
227206884,Bowman2019b_K2,MW,0.014,,,,,,,3.11567,337.852,2.74134,42.083,amplitude_ppm_nominal,B2II,,,,Bowman2019b,227206884,0.49355145260496613,2.5287264941841636,,False
227365417,Bowman2019b_K2,MW,0.014,,,,,,,0.84435,63.509,1.04024,12.736,amplitude_ppm_nominal,B8/9Ib/II(pSi),,,,Bowman2019b,227365417,-0.07347749228411653,1.8028352744789415,,False
227386210,Bowman2019b_K2,MW,0.014,,,,,,,1.92218,107.368,2.21306,8.624,amplitude_ppm_nominal,B3II,,,,Bowman2019b,227386210,0.28379405416833536,2.030874863354115,,False
227420856,Bowman2019b_K2,MW,0.014,,,,,,,1.50527,66.072,3.53298,6.973,amplitude_ppm_nominal,B3(II)e,,,,Bowman2019b,227420856,0.1776144062375544,1.8200174531049362,,False
227433841,Bowman2019b_K2,MW,0.014,,,,,,,1.49106,153.069,3.41468,16.899,amplitude_ppm_nominal,B3II,,,,Bowman2019b,227433841,0.17349511974047216,2.184887244962507,,False
227524709,Bowman2019b_K2,MW,0.014,,,,,,,1.4996,263.437,2.78675,34.075,amplitude_ppm_nominal,B3II,,,,Bowman2019b,227524709,0.17597543174951308,2.42067677202034,,False
227552090,Bowman2019b_K2,MW,0.014,,,,,,,10.64038,58.69,12.11428,25.888,amplitude_ppm_nominal,B3Ib,,,,Bowman2019b,227552090,1.0269571381992733,1.7685641095135733,,False
227563774,Bowman2019b_K2,MW,0.014,,,,,,,2.05511,228.069,3.15897,24.637,amplitude_ppm_nominal,B2Ib,,,,Bowman2019b,227563774,0.3128350724965041,2.358066258341632,,False
227596642,Bowman2019b_K2,MW,0.014,4.437750562820388,3.34,3.801943343936289,,28.0,61.0,0.92928,210.832,1.16152,12.855,amplitude_ppm_nominal,B1Ib,,,,Bowman2019b,227596642,-0.03185340965203792,2.3239365285931406,3.801943343936289,False
227713258,Bowman2019b_K2,MW,0.014,,,,,,,1.16517,45.214,2.57969,5.076,amplitude_ppm_nominal,B3II,,,,Bowman2019b,227713258,0.06638929418238528,1.6552729299735305,,False
227807830,Bowman2019b_K2,MW,0.014,4.429752280002408,2.98,4.129950212664368,,60.0,96.0,1.47157,920.659,2.54893,64.817,amplitude_ppm_nominal,B0II,,,,Bowman2019b,227807830,0.16778092555263274,2.964098803007862,4.129950212664368,False
227817310,Bowman2019b_K2,MW,0.014,,,,,,,1.30349,158.912,3.15897,18.162,amplitude_ppm_nominal,B2II,,,,Bowman2019b,227817310,0.11510770373489786,2.2011566935384517,,False
227829287,Bowman2019b_K2,MW,0.014,4.389166084364533,3.04,3.9076054301128678,,57.0,39.0,1.31362,789.003,2.45324,52.224,amplitude_ppm_nominal,B1Ia,,,,Bowman2019b,227829287,0.1184697520039861,2.8970786545160983,3.9076054301128678,False
227830499,Bowman2019b_K2,MW,0.014,,,,,,,1.25631,121.495,2.23085,12.512,amplitude_ppm_nominal,B2II,,,,Bowman2019b,227830499,0.0990968166922547,2.0845584053656787,,False
227841823,Bowman2019b_K2,MW,0.014,,,,,,,0.86005,22.082,1.14407,2.867,amplitude_ppm_nominal,B3II,,,,Bowman2019b,227841823,-0.06547629981122571,1.3440384055439327,,False
227856268,Bowman2019b_K2,MW,0.014,,,,,,,1.51257,212.982,1.19825,9.068,amplitude_ppm_nominal,O9V,,,,Bowman2019b,227856268,0.17971548243873436,2.3283429009457737,,False
227943519,Bowman2019b_K2,MW,0.014,,,,,,,,,,6.009,amplitude_ppm_nominal,B1/3II,,,,Bowman2019b,227943519,,,,False
228244671,Bowman2019b_K2,MW,0.014,,,,,,,1.15056,17.416,3.52917,5.276,amplitude_ppm_nominal,B3II,,,,Bowman2019b,228244671,0.06090927140924106,1.240948416033038,,False
228282372,Bowman2019b_K2,MW,0.014,,,,,,,3.905,342.261,3.0756,57.455,amplitude_ppm_nominal,B1/2II,,,,Bowman2019b,228282372,0.5916210382133191,2.5343574149142287,,False
229443384,Bowman2019b_K2,MW,0.014,,,,,,,1.24302,222.118,3.42418,16.757,amplitude_ppm_nominal,B1Ib,,,,Bowman2019b,229443384,0.0944781164290626,2.34658375433378,,False
230823605,Bowman2019b_K2,MW,0.014,,,,,,,0.87415,3.721,1.45158,2.076,amplitude_ppm_nominal,B9III,,,,Bowman2019b,230823605,-0.05841403809471591,0.5706596700215341,,False
231846209,Bowman2019b_K2,MW,0.014,,,,,,,0.99155,4.511,1.41323,1.779,amplitude_ppm_nominal,B9III,,,,Bowman2019b,231846209,-0.0036853811292871467,0.6542728270977105,,False
232020298,Bowman2019b_K2,MW,0.014,,,,,,,0.77172,96.146,2.04836,8.602,amplitude_ppm_nominal,B9III,,,,Bowman2019b,232020298,-0.11254024436960737,1.9829312208255296,,False
232073981,Bowman2019b_K2,MW,0.014,,,,,,,4.99552,2.577,1.05652,3.299,amplitude_ppm_nominal,B9III,,,,Bowman2019b,232073981,0.6985807020467514,0.41111441855090475,,False
234256589,Bowman2019b_K2,MW,0.014,,,,,,,5.99747,48.593,2.7523,8.995,amplitude_ppm_nominal,B9III,,,,Bowman2019b,234256589,0.7779680842568681,1.6865737120538817,,False
234503205,Bowman2019b_K2,MW,0.014,,,,,,,1.17055,9.045,0.77565,2.405,amplitude_ppm_nominal,B8III,,,,Bowman2019b,234503205,0.06838996930160234,0.9564085711958326,,False
234517653,Bowman2019b_K2,MW,0.014,4.2576785748691846,2.97,3.451655392131475,,97.0,39.0,1.32833,169.222,2.69939,15.241,amplitude_ppm_nominal,B2II,,,,Bowman2019b,234517653,0.12330598118806015,2.228456823581856,3.451655392131475,False
234642063,Bowman2019b_K2,MW,0.014,,,,,,,1.08612,5.897,1.85806,2.438,amplitude_ppm_nominal,B8II,,,,Bowman2019b,234642063,0.035877810942275684,0.7706311277778066,,False
234651201,Bowman2019b_K2,MW,0.014,,,,,,,0.83624,7.493,1.75589,5.176,amplitude_ppm_nominal,B9III,,,,Bowman2019b,234651201,-0.07766906261220542,0.874655732598101,,False
234963658,Bowman2019b_K2,MW,0.014,,,,,,,1.09234,5.994,1.20932,1.446,amplitude_ppm_nominal,B9.5III,,,,Bowman2019b,234963658,0.03835783721600378,0.777716738609626,,False
235151005,Bowman2019b_K2,MW,0.014,,,,,,,5.0142,57.352,5.4929,14.344,amplitude_ppm_nominal,B5III,,,,Bowman2019b,235151005,0.7002016525508175,1.7585485673779797,,False
235199564,Bowman2019b_K2,MW,0.014,,,,,,,0.85099,7.603,1.0152,1.372,amplitude_ppm_nominal,B9III,,,,Bowman2019b,235199564,-0.07007554328830981,0.8809849904867534,,False
236006268,Bowman2019b_K2,MW,0.014,,,,,,,2.82975,262.751,2.16233,25.645,amplitude_ppm_nominal,B0.5Ib,,,,Bowman2019b,236006268,0.4517480685926956,2.419544377578131,,False
238169958,Bowman2019b_K2,MW,0.014,,,,,,,1.7044,8.02,2.39587,6.872,amplitude_ppm_nominal,B9III,,,,Bowman2019b,238169958,0.23157152552841562,0.9041743682841635,,False
238194885,Bowman2019b_K2,MW,0.014,,,,,,,1.54962,156.117,2.56466,17.826,amplitude_ppm_nominal,B2III,,,,Bowman2019b,238194885,0.19022521292116415,2.1934501971316043,,False
240255386,Bowman2019b_K2,MW,0.014,,,,,,,1.03118,1023.025,1.95491,55.997,amplitude_ppm_nominal,B0Ia,,,,Bowman2019b,240255386,0.013334481174409786,3.0098862468396126,,False
240582120,Bowman2019b_K2,MW,0.014,,,,,,,0.80043,10.859,2.66249,3.176,amplitude_ppm_nominal,B6III,,,,Bowman2019b,240582120,-0.09667664243675746,1.035789833127757,,False
240633023,Bowman2019b_K2,MW,0.014,,,,,,,3.25687,3.111,1.33513,2.134,amplitude_ppm_nominal,B5/7III,,,,Bowman2019b,240633023,0.5128004237753686,0.4929000111087034,,False
240635825,Bowman2019b_K2,MW,0.014,,,,,,,1.59473,81.82,2.83762,8.285,amplitude_ppm_nominal,B3III,,,,Bowman2019b,240635825,0.2026871642358205,1.9128594751623549,,False
242146196,Bowman2019b_K2,MW,0.014,,,,,,,1.726,9.122,2.13459,2.657,amplitude_ppm_nominal,B9III,,,,Bowman2019b,242146196,0.2370407913791908,0.9600900679049195,,False
245944681,Bowman2019b_K2,MW,0.014,,,,,,,7.98703,2.984,2.48363,1.035,amplitude_ppm_nominal,B3III,,,,Bowman2019b,245944681,0.9023853156845045,0.4747988188006312,,False
247164195,Bowman2019b_K2,MW,0.014,,,,,,,2.46295,2.443,1.81156,0.921,amplitude_ppm_nominal,B9II,,,,Bowman2019b,247164195,0.39145559537767105,0.3879234669734367,,False
247169098,Bowman2019b_K2,MW,0.014,,,,,,,3.41077,3.728,3.02845,1.01,amplitude_ppm_nominal,B8III,,,,Bowman2019b,247169098,0.5328524344180541,0.5714759036819438,,False
29990592,Bowman2019b_LMC,LMC,0.006,,,,,,,0.25057,7296.337,2.07085,73.212,amplitude_ppm_nominal,B2Ia,,,,Bowman2019b,29990592,-0.6010709270145653,3.863104884785876,,False
30038422,Bowman2019b_LMC,LMC,0.006,,,,,,,1.19703,516.93,2.83233,44.259,amplitude_ppm_nominal,OB,,,,Bowman2019b,30038422,0.07810503484349608,2.7134317371519936,,False
30111936,Bowman2019b_LMC,LMC,0.006,,,,,,,0.71534,1846.887,1.94391,68.556,amplitude_ppm_nominal,B0.5Ia,,,,Bowman2019b,30111936,-0.14548748962972852,3.2664403243640443,,False
30268695,Bowman2019b_LMC,LMC,0.006,,,,,,,0.27612,7326.272,2.05088,68.421,amplitude_ppm_nominal,B1Ia,,,,Bowman2019b,30268695,-0.5589021352837318,3.8648830385308464,,False
30275662,Bowman2019b_LMC,LMC,0.006,,,,,,,0.24518,9563.164,2.09054,103.239,amplitude_ppm_nominal,B3Ia,,,,Bowman2019b,30275662,-0.6105149592918536,3.980601603615215,,False
30275777,Bowman2019b_LMC,LMC,0.006,,,,,,,1.77394,2816.043,2.93484,511.649,amplitude_ppm_nominal,O9.5III+B1-2,,,,Bowman2019b,30275777,0.2489389265951531,3.4496392820468302,,False
30275795,Bowman2019b_LMC,LMC,0.006,,,,,,,0.77955,1749.56,2.23715,192.361,amplitude_ppm_nominal,B1Ib,,,,Bowman2019b,30275795,-0.10815602412145928,3.242928840915578,,False
30312676,Bowman2019b_LMC,LMC,0.006,,,,,,,0.21815,5587.243,2.62007,57.871,amplitude_ppm_nominal,B2Ia,,,,Bowman2019b,30312676,-0.661244782677161,3.747197560077569,,False
30312722,Bowman2019b_LMC,LMC,0.006,,,,,,,0.68953,1404.133,3.23582,49.768,amplitude_ppm_nominal,B1Ia,,,,Bowman2019b,30312722,-0.1614468338376247,3.1474082462769966,,False
30312800,Bowman2019b_LMC,LMC,0.006,,,,,,,0.53909,2041.803,2.85325,70.678,amplitude_ppm_nominal,B3Iab,,,,Bowman2019b,30312800,-0.2683387241630149,3.310013837584306,,False
30313007,Bowman2019b_LMC,LMC,0.006,,,,,,,0.48227,2517.517,2.56157,60.444,amplitude_ppm_nominal,B1Ia,,,,Bowman2019b,30313007,-0.3167097528815247,3.4009724118895144,,False
31105740,Bowman2019b_LMC,LMC,0.006,,,,,,,0.45954,4956.689,2.34914,72.601,amplitude_ppm_nominal,B0.5Ia,,,,Bowman2019b,31105740,-0.3376766800924436,3.695191670605569,,False
31181554,Bowman2019b_LMC,LMC,0.006,,,,,,,0.4279,5016.775,3.14147,82.45,amplitude_ppm_nominal,B0Ia,,,,Bowman2019b,31181554,-0.36865771351606724,3.7004246235612057,,False
40343782,Bowman2019b_LMC,LMC,0.006,,,,,,,0.36927,4619.461,2.0923,94.201,amplitude_ppm_nominal,B3Iab,,,,Bowman2019b,40343782,-0.4326559735937625,3.664591304910725,,False
40515514,Bowman2019b_LMC,LMC,0.006,,,,,,,0.33259,9330.136,1.96062,117.135,amplitude_ppm_nominal,B1II,,,,Bowman2019b,40515514,-0.47809081287389027,3.969887974252295,,False
149102723,Bowman2019b_LMC,LMC,0.006,,,,,,,0.88969,1099.366,2.3871,53.737,amplitude_ppm_nominal,B0II,,,,Bowman2019b,149102723,-0.050761290817849435,3.0411423014484167,,False
179201107,Bowman2019b_LMC,LMC,0.006,,,,,,,0.36618,6537.266,1.72691,67.413,amplitude_ppm_nominal,B0I,,,,Bowman2019b,179201107,-0.4363053796597633,3.8153961566779975,,False
179209402,Bowman2019b_LMC,LMC,0.006,,,,,,,0.63462,1539.804,2.31472,117.037,amplitude_ppm_nominal,B1III,,,,Bowman2019b,179209402,-0.1974862452630742,3.187465443475587,,False
179305195,Bowman2019b_LMC,LMC,0.006,,,,,,,0.89193,6462.682,2.20654,184.919,amplitude_ppm_nominal,O9.5I,,,,Bowman2019b,179305195,-0.049669228366752305,3.8104127867376234,,False
179308757,Bowman2019b_LMC,LMC,0.006,,,,,,,1.04276,3842.813,4.59887,180.5,amplitude_ppm_nominal,B3Iab,,,,Bowman2019b,179308757,0.018184363393433264,3.584649251223628,,False
179574710,Bowman2019b_LMC,LMC,0.006,,,,,,,0.2328,4995.292,1.75518,59.265,amplitude_ppm_nominal,B1Iak,,,,Bowman2019b,179574710,-0.6330170240221491,3.698560880005882,,False
179637063,Bowman2019b_LMC,LMC,0.006,,,,,,,1.74323,400.664,3.42889,57.373,amplitude_ppm_nominal,O9II,,,,Bowman2019b,179637063,0.24135469126432763,2.6027803224583583,,False
179637387,Bowman2019b_LMC,LMC,0.006,,,,,,,0.54442,3769.82,2.575,92.026,amplitude_ppm_nominal,B1Ia,,,,Bowman2019b,179637387,-0.2640659287844777,3.576320614165209,,False
276934673,Bowman2019b_LMC,LMC,0.006,,,,,,,1.00538,757.715,2.70575,86.9,amplitude_ppm_nominal,B1.5Ia,,,,Bowman2019b,276934673,0.0023302415683727363,2.879505884785059,,False
276935568,Bowman2019b_LMC,LMC,0.006,,,,,,,0.89794,2588.759,2.66969,81.902,amplitude_ppm_nominal,B0Ia+,,,,Bowman2019b,276935568,-0.046752681750820854,3.4130916217589857,,False
276936239,Bowman2019b_LMC,LMC,0.006,,,,,,,0.76254,6035.241,2.12854,212.33,amplitude_ppm_nominal,B0I,,,,Bowman2019b,276936239,-0.11773736991738791,3.7806946170813154,,False
276936458,Bowman2019b_LMC,LMC,0.006,,,,,,,0.83655,768.858,2.36982,33.428,amplitude_ppm_nominal,B0.5I,,,,Bowman2019b,276936458,-0.07750809645275773,2.885846137576511,,False
277022637,Bowman2019b_LMC,LMC,0.006,,,,,,,0.54831,4407.743,2.4655,82.053,amplitude_ppm_nominal,B1.5I,,,,Bowman2019b,277022637,-0.26097383344313635,3.644216264397339,,False
277022838,Bowman2019b_LMC,LMC,0.006,,,,,,,0.42431,6242.817,2.16019,138.992,amplitude_ppm_nominal,B0,,,,Bowman2019b,277022838,-0.37231673280175065,3.795380604344225,,False
277023834,Bowman2019b_LMC,LMC,0.006,,,,,,,0.34144,8063.271,2.45197,98.727,amplitude_ppm_nominal,B1Ia+,,,,Bowman2019b,277023834,-0.4666856022556241,3.9065112563300213,,False
277023992,Bowman2019b_LMC,LMC,0.006,,,,,,,0.32664,6672.502,1.67525,104.43,amplitude_ppm_nominal,B1.5I,,,,Bowman2019b,277023992,-0.4859306330850593,3.8242887126339675,,False
277025859,Bowman2019b_LMC,LMC,0.006,,,,,,,0.37061,6749.145,3.40468,89.806,amplitude_ppm_nominal,B1.5I,,,,Bowman2019b,277025859,-0.4310828664897962,3.8292487587123496,,False
277026183,Bowman2019b_LMC,LMC,0.006,,,,,,,0.22183,11404.209,1.86559,112.849,amplitude_ppm_nominal,B1I,,,,Bowman2019b,277026183,-0.6539797207954426,4.057065167837263,,False
277172980,Bowman2019b_LMC,LMC,0.006,,,,,,,0.38152,1022.505,1.85643,19.138,amplitude_ppm_nominal,B0.5e,,,,Bowman2019b,277172980,-0.4184826905741893,3.009665440363585,,False
277298891,Bowman2019b_LMC,LMC,0.006,,,,,,,0.35756,6829.322,1.9449,94.235,amplitude_ppm_nominal,B1Ia,,,,Bowman2019b,277298891,-0.4466510713943655,3.834377590024944,,False
287404510,Bowman2019b_LMC,LMC,0.006,,,,,,,1.48757,703.021,2.67431,117.41,amplitude_ppm_nominal,B0.5I,,,,Bowman2019b,287404510,0.17247741130710625,2.8469682980609385,,False
287407926,Bowman2019b_LMC,LMC,0.006,,,,,,,0.54933,5089.199,2.98871,117.97,amplitude_ppm_nominal,B1Ia,,,,Bowman2019b,287407926,-0.26016668264861126,3.7066494331708326,,False
