key,vmac,vsini,vmac_src,SpType,logTeff_sp,logL_sp,logg_sp,ev_tau,ev_logM,ev_logR,ev_phase,ev_Mini,ev_dist,ev_R,f_rot
HD14443,58.0,36.0,SimonDiaz2017,BC2 Ib,4.34,3.78,,1.0010738823880028,1.2795246296599678,1.3683350562787908,2.0,19.845702162255225,0.08151968858403168,23.3525900951427,0.030470481372000355
HD144470,21.0,106.0,SimonDiaz2017,B1 V,4.4,3.06,,0.6253116066465971,1.0695476618528381,0.787004623965179,0.0,11.783469213807226,0.5927975672640242,6.1235691149898255,0.3421472959674701
HD14476,61.0,33.0,SimonDiaz2017,B0.5 III,4.4,3.58,,0.9711160558964684,1.22485611576027,1.1281977883719867,0.1495248186913439,17.264914501528906,0.12286079088962366,13.43376628548924,0.04855433632659409
HD14542,46.0,38.0,SimonDiaz2017,B8 Ia,4.1,3.98,,1.0017966669967482,1.3981106947635722,2.0128228160645394,2.0,26.54426779592898,0.16352197937927135,102.99658281320998,0.007292436419240175
HD145482,47.0,170.0,SimonDiaz2017,B2 V,4.29,2.75,,0.7964726605861311,0.8919393560199469,0.7647864661089293,0.0,7.799999999999999,0.019231309872819985,5.818170796372419,0.5775297038535541
HD14633,84.0,123.0,SimonDiaz2017,ON8.5 V,4.54,3.84,,0.7607458978263043,1.465457675468944,1.0950199239840555,0.0,30.936443059474417,0.24056460702224067,12.445717072655611,0.19534264244243862
HD147165,53.0,24.0,SimonDiaz2017,B1 III,4.39,3.31,,0.867869058266442,1.1341563500331504,0.9709819901492109,0.0,13.773612611742118,0.4654622239005651,9.353668844138124,0.05071554797295309
HD148605,83.0,186.0,SimonDiaz2017,B2.5 V,4.28,2.6,,0.7116956033992105,0.8470949608576898,0.6929635260876572,0.0,7.034739739656384,0.12623152222825354,4.931323868439383,0.7455234163763218
HD149438,10.0,7.0,SimonDiaz2017,B0 V,4.51,3.11,,0.002400839388243271,1.2013830788195143,0.6921345499991528,0.0,15.904312552059238,0.5249851061916331,4.921919994550858,0.028110939519811022
HD14956,84.0,50.0,SimonDiaz2017,B2 Ia,4.28,3.99,,1.0004687262201784,1.4230389067772928,1.6747041791740107,2.0,28.39699431326478,0.0711367080996527,47.282908047864936,0.02090151162144874
HD154445,27.0,122.0,SimonDiaz2017,B1.5 V,4.34,3.15,,0.9431325855620759,1.0150717314232982,0.9303283434173708,0.0,10.56772398056414,0.13485704257787015,8.517817747769447,0.2831022741304634
