star,source,SpType,logTeff,logLspec,logg,vmac,vsini,tau,logM,logR
HD216538,SimonDiaz2017,B7 III,4.11,2.34,,21.0,18.0,0.989525174297445,0.6842479746692163,0.8089936411818608
HD216831,SimonDiaz2017,B7 III,4.09,2.17,,17.0,67.0,0.9660256633778312,0.6274927587674259,0.7418133153355108
HD216898,SimonDiaz2017,O9 V,4.56,3.4,,47.0,44.0,0.000907031010731,1.3423246409903122,0.7727693362314094
HD217348,SimonDiaz2017,B7 III,4.08,2.52,,43.0,168.0,1.001376738325282,0.7211002395173736,0.9857471412729536
HD218195A,SimonDiaz2017,O8.5 III Nstr,4.54,3.97,,67.0,52.0,0.8114587918479027,1.5372507080453643,1.1974357701201754
HD218376,SimonDiaz2017,B0.5 III,4.43,3.52,,54.0,30.0,0.8613729393038669,1.2375836766409152,1.0415001796046244
HD218407,SimonDiaz2017,B2 V,4.26,2.78,,2.0,156.0,0.8931479724051669,0.8824448156917639,0.8340541572671166
HD218440,SimonDiaz2017,B2.5 IV,4.22,2.68,,17.0,13.0,0.9882002621673608,0.8004580433597274,0.8257442494668297
HD218915,SimonDiaz2017,O9.2 Iab,4.52,4.09,,93.0,51.0,0.8711831818175897,1.6086507730440731,1.3319052821330448
HD220222,SimonDiaz2017,B6 III,4.15,2.37,,21.0,122.0,0.9575635253645368,0.6980476275868799,0.7624823892165795
HD223128,SimonDiaz2017,B2 IV,4.35,2.99,,20.0,11.0,0.7822251289680419,0.9945103863179068,0.8144469521129837
HD223987,SimonDiaz2017,B1 Ib,4.32,3.97,,81.0,45.0,1.0005925746933664,1.4100058675248832,1.5771800993273926
HD224055,SimonDiaz2017,B3 Ia,4.21,4.02,,60.0,33.0,1.0006744884443135,1.4315815753798882,1.8266452336265244
HD224572,SimonDiaz2017,B1 V,4.33,3.42,,47.0,186.0,0.9993795962791882,1.1149501566010056,1.1265660750148034
