# subgrid mass class termination_code min_timestep_limit model_number Xc star_age
LMC/w0.4 M22 done done None 4084 0.0 9377057.115644038
LMC/w0.4 M23 done done None 4613 0.0 8892495.364829976
LMC/w0.4 M24 done done None 5124 0.0 8513815.447968906
LMC/w0.4 M25 done done None 5758 0.0 8220435.290442974
LMC/w0.4 M30 done done None 18368 0.0 7756245.5227558
LMC/w0.4 M40 running running None 31737 0.0 6095279.205762045
LMC/w0.4 M50 running running None 35676 0.0 4851977.237819585
LMC/w0.4 M60 running running None 40687 0.0 4122261.1567248236
LMC/w0.4 M80 running running None 48156 0.0 3497777.8765618056
LMC/w0.4 M100 running running None 49287 0.31833437213552895 2182866.302460103
LMC/w0.4 M120 running running None 51258 0.4135115293121411 1648774.0687525806
LMC/w0.6 M5.0 done done None 2079 0.0 114965069.73633313
LMC/w0.6 M5.2 done done None 1912 0.0 104491991.32771811
LMC/w0.6 M5.4 done done None 2108 0.0 96212003.17094491
LMC/w0.6 M5.6 done done None 2203 0.0 89156701.9478657
LMC/w0.6 M5.8 done done None 1869 0.0 82098953.47111836
LMC/w0.6 M6.0 done done None 2209 0.0 76294136.21811706
LMC/w0.6 M6.5 done done None 1933 0.0 64244855.05395379
LMC/w0.6 M7.0 done done None 2389 0.0 55245775.05120205
LMC/w0.6 M7.5 done done None 2100 0.0 48126136.33946075
LMC/w0.6 M8.0 done done None 2151 0.0 42729194.94477134
LMC/w0.6 M9.0 done done None 2650 0.0 34056394.832306154
LMC/w0.6 M10 done done None 2441 0.0 28497175.870096028
LMC/w0.6 M11 done done None 2719 0.0 24160243.858421624
LMC/w0.6 M12 done done None 2742 0.0 21281227.389896523
LMC/w0.6 M13 done done None 2924 0.0 19136327.262241203
LMC/w0.6 M14 done done None 2915 0.0 17269795.15403934
LMC/w0.6 M15 done done None 3051 0.0 15840636.5016236
LMC/w0.6 M16 done done None 3172 0.0 14524280.806002896
LMC/w0.6 M17 done done None 3349 0.0 13408167.595099939
LMC/w0.6 M18 done done None 3738 0.0 12711419.918725705
LMC/w0.6 M19 done done None 4467 0.0 12022296.074331785
LMC/w0.6 M20 done done None 4700 0.0 11276358.06751754
LMC/w0.6 M21 done done None 5568 0.0 10785606.472753396
LMC/w0.6 M22 running running None 9086 0.0 10468440.372302052
LMC/w0.6 M23 done done None 8317 0.0 10014579.43122536
LMC/w0.6 M24 running running None 10629 0.0 9655203.426399251
LMC/w0.6 M25 running running None 11909 0.0 9283901.464602632
LMC/w0.6 M30 running running None 17299 0.0 8136346.369856041
LMC/w0.6 M40 running running None 20439 0.3727615149231586 4096830.389909831
LMC/w0.6 M50 running running None 20825 0.5039376017044217 2524932.2981601353
LMC/w0.6 M60 running running None 20318 0.5611370836507458 1724260.6699602427
LMC/w0.6 M80 running running None 20392 0.613655290145318 1012652.1296300296
LMC/w0.6 M100 running running None 20004 0.6375845875485201 713018.2625295479
LMC/w0.6 M120 running running None 19718 0.6553818533084502 533344.9166836847
SMC/w0.0 M5.0 other nostart None None None None
SMC/w0.0 M5.2 other nostart None None None None
SMC/w0.0 M5.4 other nostart None None None None
SMC/w0.0 M5.6 other nostart None None None None
SMC/w0.0 M5.8 other nostart None None None None
SMC/w0.0 M6.0 other nostart None None None None
SMC/w0.0 M6.5 other nostart None None None None
SMC/w0.0 M7.0 other nostart None None None None
SMC/w0.0 M7.5 other nostart None None None None
SMC/w0.0 M8.0 other nostart None None None None
SMC/w0.0 M9.0 other nostart None None None None
SMC/w0.0 M10 other nostart None None None None
SMC/w0.0 M11 other nostart None None None None
SMC/w0.0 M12 other nostart None None None None
SMC/w0.0 M13 other nostart None None None None
SMC/w0.0 M14 other nostart None None None None
SMC/w0.0 M15 other nostart None None None None
SMC/w0.0 M16 other nostart None None None None
SMC/w0.0 M17 other nostart None None None None
SMC/w0.0 M18 other nostart None None None None
SMC/w0.0 M19 other nostart None None None None
SMC/w0.0 M20 other nostart None None None None
SMC/w0.0 M21 other nostart None None None None
SMC/w0.0 M22 other nostart None None None None
SMC/w0.0 M23 other nostart None None None None
SMC/w0.0 M24 other nostart None None None None
SMC/w0.0 M25 other nostart None None None None
SMC/w0.0 M30 other nostart None None None None
SMC/w0.0 M40 other nostart None None None None
SMC/w0.0 M50 other nostart None None None None
SMC/w0.0 M60 other nostart None None None None
SMC/w0.0 M80 other nostart None None None None
SMC/w0.0 M100 other nostart None None None None
SMC/w0.0 M120 other nostart None None None None
SMC/w0.2 M5.0 other nostart None None None None
SMC/w0.2 M5.2 other nostart None None None None
SMC/w0.2 M5.4 other nostart None None None None
SMC/w0.2 M5.6 other nostart None None None None
SMC/w0.2 M5.8 other nostart None None None None
SMC/w0.2 M6.0 other nostart None None None None
SMC/w0.2 M6.5 other nostart None None None None
SMC/w0.2 M7.0 other nostart None None None None
SMC/w0.2 M7.5 other nostart None None None None
SMC/w0.2 M8.0 other nostart None None None None
SMC/w0.2 M9.0 other nostart None None None None
SMC/w0.2 M10 other nostart None None None None
SMC/w0.2 M11 other nostart None None None None
SMC/w0.2 M12 other nostart None None None None
SMC/w0.2 M13 other nostart None None None None
SMC/w0.2 M14 other nostart None None None None
SMC/w0.2 M15 other nostart None None None None
SMC/w0.2 M16 other nostart None None None None
SMC/w0.2 M17 other nostart None None None None
SMC/w0.2 M18 other nostart None None None None
SMC/w0.2 M19 other nostart None None None None
SMC/w0.2 M20 other nostart None None None None
SMC/w0.2 M21 other nostart None None None None
SMC/w0.2 M22 other nostart None None None None
SMC/w0.2 M23 other nostart None None None None
SMC/w0.2 M24 other nostart None None None None
SMC/w0.2 M25 other nostart None None None None
SMC/w0.2 M30 other nostart None None None None
SMC/w0.2 M40 other nostart None None None None
SMC/w0.2 M50 other nostart None None None None
SMC/w0.2 M60 other nostart None None None None
SMC/w0.2 M80 other nostart None None None None
SMC/w0.2 M100 other nostart None None None None
SMC/w0.2 M120 other nostart None None None None
SMC/w0.4 M5.0 other nostart None None None None
SMC/w0.4 M5.2 other nostart None None None None
SMC/w0.4 M5.4 other nostart None None None None
SMC/w0.4 M5.6 other nostart None None None None
SMC/w0.4 M5.8 other nostart None None None None
SMC/w0.4 M6.0 other nostart None None None None
SMC/w0.4 M6.5 other nostart None None None None
SMC/w0.4 M7.0 other nostart None None None None
SMC/w0.4 M7.5 other nostart None None None None
SMC/w0.4 M8.0 other nostart None None None None
SMC/w0.4 M9.0 other nostart None None None None
SMC/w0.4 M10 other nostart None None None None
SMC/w0.4 M11 other nostart None None None None
SMC/w0.4 M12 other nostart None None None None
SMC/w0.4 M13 other nostart None None None None
SMC/w0.4 M14 other nostart None None None None
SMC/w0.4 M15 other nostart None None None None
SMC/w0.4 M16 other nostart None None None None
SMC/w0.4 M17 other nostart None None None None
SMC/w0.4 M18 other nostart None None None None
SMC/w0.4 M19 other nostart None None None None
SMC/w0.4 M20 other nostart None None None None
SMC/w0.4 M21 other nostart None None None None
SMC/w0.4 M22 other nostart None None None None
SMC/w0.4 M23 other nostart None None None None
SMC/w0.4 M24 other nostart None None None None
SMC/w0.4 M25 other nostart None None None None
SMC/w0.4 M30 other nostart None None None None
SMC/w0.4 M40 other nostart None None None None
SMC/w0.4 M50 other nostart None None None None
SMC/w0.4 M60 other nostart None None None None
SMC/w0.4 M80 other nostart None None None None
SMC/w0.4 M100 other nostart None None None None
SMC/w0.4 M120 other nostart None None None None
SMC/w0.6 M5.0 other nostart None None None None
SMC/w0.6 M5.2 other nostart None None None None
SMC/w0.6 M5.4 other nostart None None None None
SMC/w0.6 M5.6 other nostart None None None None
SMC/w0.6 M5.8 other nostart None None None None
SMC/w0.6 M6.0 other nostart None None None None
SMC/w0.6 M6.5 other nostart None None None None
SMC/w0.6 M7.0 other nostart None None None None
SMC/w0.6 M7.5 other nostart None None None None
SMC/w0.6 M8.0 other nostart None None None None
SMC/w0.6 M9.0 other nostart None None None None
SMC/w0.6 M10 other nostart None None None None
SMC/w0.6 M11 other nostart None None None None
SMC/w0.6 M12 other nostart None None None None
SMC/w0.6 M13 other nostart None None None None
SMC/w0.6 M14 other nostart None None None None
SMC/w0.6 M15 other nostart None None None None
SMC/w0.6 M16 other nostart None None None None
SMC/w0.6 M17 other nostart None None None None
SMC/w0.6 M18 other nostart None None None None
SMC/w0.6 M19 other nostart None None None None
SMC/w0.6 M20 other nostart None None None None
SMC/w0.6 M21 other nostart None None None None
SMC/w0.6 M22 other nostart None None None None
SMC/w0.6 M23 other nostart None None None None
SMC/w0.6 M24 other nostart None None None None
SMC/w0.6 M25 other nostart None None None None
SMC/w0.6 M30 other nostart None None None None
SMC/w0.6 M40 other nostart None None None None
SMC/w0.6 M50 other nostart None None None None
SMC/w0.6 M60 other nostart None None None None
SMC/w0.6 M80 other nostart None None None None
SMC/w0.6 M100 other nostart None None None None
SMC/w0.6 M120 other nostart None None None None
