model_number,Minit,M,Xc,logTeff,logL,logLspec,tau_Fe,beta_Fe,kap_Fe,T_Fe,r_Fe_R,Gamma_Fe,Y_Fe,tau_ratio,v_c,mach_max,tau_crit,t_th_zone,t_th_above,t_th_peak,t_th_top,nu_turn,FeCZ_ncells,tau_top,tau_bot,nu_th_zone,nu_th_above,nu_th_peak,nu_th_top
13599,40,24.4454,0,3.69984,5.7005,4.31048,76829.6,0.138108,0.979314,176343,0.113584,1.53857,0.0891229,5.29474,17.8069,0.147239,14510.6,8.84716e+08,1.36355e+09,8.60235e+08,4.7883e+08,0.00681752,380,21392.3,173647,1.55428e-05,1.00847e-05,1.59852e-05,2.87179e-05
13879,40,24.1157,0,3.64969,5.68875,4.30463,107997,0.142277,0.985688,176818,0.0975523,1.52723,0.0757723,6.99871,16.6638,0.139498,15431,1.17951e+09,2.13638e+09,1.51598e+09,9.56864e+08,0.00565922,398,38327.4,222735,1.16582e-05,6.43659e-06,9.07069e-06,1.43709e-05
1140,50,49.9566,0.738998,4.68125,5.54107,3.84066,222.584,0.345654,1.4273,173770,0.986094,0.76036,9.15412,0.00328213,2.89262,0.0293283,67816.8,2142.94,2216.84,737.864,73.9029,0.693068,206,37.9711,421.311,6.41687,6.20295,18.6362,186.068
3432,50,49.691,0.688998,4.66998,5.56236,3.86427,241.861,0.327855,1.38924,172957,0.984304,0.781435,8.45847,0.00456197,3.80076,0.0374909,53016.8,3086.08,3182.75,1007.41,96.6689,0.743576,211,40.4384,468.795,4.45581,4.32048,13.6499,142.248
5555,50,49.4146,0.638994,4.66503,5.58341,3.88773,248.445,0.309503,1.3517,172311,0.982855,0.802529,8.24243,0.00570729,4.75535,0.0455172,43531.1,3922.8,4035.04,1235.36,112.24,0.800265,216,40.4047,482.019,3.5054,3.40789,11.1312,122.514
7480,50,49.129,0.588984,4.65949,5.60363,3.91047,257.127,0.291285,1.31556,171749,0.98119,0.823065,7.97586,0.00724246,5.98454,0.0555335,35502.7,5185.88,5318.73,1539.66,132.853,0.860486,220,40.8822,504.875,2.65162,2.58539,8.93116,103.505
9200,50,48.8344,0.538983,4.65279,5.6231,3.93255,270.364,0.273276,1.28069,171239,0.979177,0.843029,7.63082,0.00942805,7.59736,0.0683186,28676.6,6796.04,6954.31,1983.17,158.273,0.922256,224,41.2566,529.612,2.02338,1.97733,6.93384,86.8812
10741,50,48.5315,0.488999,4.64466,5.64192,3.95408,279.865,0.257843,1.24682,169757,0.977013,0.862445,7.39531,0.0122446,9.73443,0.0846752,22856.3,9356.99,9552.35,2499.99,195.362,0.997479,229,42.4871,562.162,1.46959,1.43954,5.50041,70.3871
12095,50,48.2217,0.438964,4.6348,5.6603,3.97523,305.595,0.239167,1.21378,169711,0.973958,0.881496,6.80358,0.016803,12.5415,0.10529,18187,13414.4,13664.4,3495.98,250.044,1.04352,234,44.5535,605.964,1.0251,1.00634,3.93337,54.9943
13225,50,47.9077,0.38898,4.62293,5.67811,3.99588,329.855,0.223294,1.18179,168667,0.970512,0.900062,6.31555,0.0227757,16.0778,0.130634,14482.8,19673.7,20006.2,4818.67,332.457,1.08192,232,47.5967,663.059,0.698953,0.687338,2.85369,41.3616
14137,50,47.592,0.338972,4.60863,5.69551,4.01616,365.39,0.207801,1.15094,167668,0.966086,0.918453,5.73812,0.0312337,20.3012,0.159416,11698.6,30552.1,31007.5,7018.84,455.44,1.07974,242,51.2429,750.91,0.450083,0.443472,1.95915,30.1928
14874,50,47.2806,0.288983,4.59128,5.71261,4.03611,419.708,0.192245,1.12166,167008,0.960186,0.937167,5.03989,0.0431144,24.8757,0.18941,9734.76,51342.5,52011.7,11035,669.22,1.01269,245,57.3548,875.785,0.267829,0.264382,1.24612,20.5478
15414,50,46.9804,0.238949,4.57024,5.72941,4.05568,505.609,0.176679,1.09503,167002,0.952073,0.957077,4.22381,0.0599346,29.2586,0.21715,8436.01,94049.8,95110,19120.8,1060.23,0.8769,251,66.7966,1073.62,0.14621,0.14458,0.719162,12.9698
15798,50,46.7016,0.188882,4.54458,5.74606,4.0749,651.558,0.161322,1.07254,168211,0.940389,0.979862,3.30892,0.0852156,32.8838,0.23969,7646,185946,187832,37792.7,1886.01,0.691673,262,83.4122,1410.15,0.0739517,0.0732091,0.363853,7.29104
16037,50,46.4586,0.138916,4.51312,5.76265,4.09376,890.309,0.149928,1.05607,169507,0.923953,1.00763,2.47827,0.123246,35.2783,0.255532,7223.84,407779,411520,82251.7,3740.91,0.508024,271,110.214,2001.79,0.0337216,0.0334151,0.167182,3.67584
16176,50,46.2642,0.0889209,4.47461,5.77924,4.11217,1304.4,0.142406,1.04669,171306,0.900632,1.04193,1.74454,0.183255,36.1198,0.261263,7117.98,970697,979114,196953,8417.34,0.345891,276,155.4,3080.6,0.0141661,0.0140443,0.0698188,1.63365
16252,50,46.1265,0.038264,4.42849,5.79644,4.13067,2012.86,0.139434,1.04361,172582,0.868306,1.08407,1.18702,0.276512,35.4409,0.257341,7279.48,2.47496e+06,2.49618e+06,497024,21219.8,0.222379,283,229.934,5068.99,0.00555605,0.00550882,0.0276666,0.648026
16357,50,46.0572,0.000987965,4.42413,5.81689,4.15177,2060.72,0.127319,1.02048,172465,0.853553,1.11282,1.18367,0.29429,37.3622,0.255206,7002.34,3.23824e+06,3.26511e+06,636396,26869.4,0.202856,291,239.076,5229.89,0.00424644,0.0042115,0.0216076,0.511772
19400,50,42.6705,0,4.37291,5.96331,4.33136,2148.08,0.0523429,0.821042,167038,0.645853,1.35348,1.55676,0.472628,62.5089,0.309281,4544.96,2.26107e+07,2.28415e+07,4.55384e+06,230843,0.113475,333,308.411,5845.1,0.000608163,0.000602017,0.00301965,0.0595687
