observable,logTeff,logLspec,vsini,omega,omega_from_vsini
vmac,4.6,3.91,49,0.1528,True
vmac,4.547,3.957,55,0.2249,True
vmac,4.461,4.235,56,0.6,True
vmac,4.438,4.282,56,0.282,False
vmac,4.553,3.722,58,0.1391,True
vmac,4.507,4.207,118,0.6,True
vmac,4.544,3.987,60,0.2944,True
vmac,4.544,3.807,121,0.3416,True
vmac,4.592,4.12,114,0.6,True
vmac,4.556,4.066,67,0.6,True
vmac,4.48,4.151,59,0.6,True
vmac,4.58,3.79,48,0.122,True
vmac,4.58,3.9,73,0.2316,True
vmac,4.543,3.462,27,0.05362,True
vmac,4.534,4.217,62,0.6,True
vmac,4.579,3.875,65,0.1945,True
vmac,4.539,4.267,76,0.282,False
vmac,4.633,4.005,68,0.2592,True
vmac,4.599,4.086,107,0.6,True
vmac,4.59,4.051,66,0.3993,True
vmac,4.563,4.125,90,0.6,True
vmac,4.519,3.965,66,0.3072,True
vmac,4.566,4.154,248,0.6,True
vmac,4.591,3.685,89,0.1913,True
vmac,4.526,3.986,105,0.6,True
vmac,4.614,3.946,85,0.2846,True
vmac,4.603,3.894,47,0.139,True
vmac,4.615,3.941,69,0.2249,True
vmac,4.56,3.671,66,0.1479,True
vmac,4.587,3.997,68,0.3093,True
vmac,4.479,3.995,100,0.6,True
vmac,4.547,4.057,52,0.3816,True
vmac,4.53,3.612,111,0.2421,True
vmac,4.519,3.965,57,0.258,True
vmac,4.554,4.236,73,0.6,True
vmac,4.524,4.136,145,0.6,True
vmac,4.589,3.906,60,0.1893,True
vmac,4.6,3.77,51,0.12,True
vmac,4.548,3.652,25,0.0558,True
vmac,4.588,3.902,60,0.1873,True
vmac,4.563,3.805,120,0.3235,True
vmac,4.593,4.034,110,0.6,True
vmac,4.566,4.024,50,0.2703,True
vmac,4.516,3.954,55,0.2388,True
vmac,4.653,4.144,70,0.5683,True
vmac,4.572,4.148,58,0.6,True
vmac,4.542,4.067,162,0.6,True
vmac,4.56,4.091,76,0.6,True
vmac,4.52,3.8,29,0.08075,True
vmac,4.655,4.101,59,0.3378,True
vmac,4.591,3.895,72,0.2199,True
vmac,4.551,3.927,41,0.1477,True
vmac,4.565,3.55,66,0.1329,True
vmac,4.57,4.16,67,0.6,True
vmac,4.59,3.6,96,0.1902,True
vmac,4.5,4.15,124,0.6,True
vmac,4.58,4.01,62,0.3048,True
vmac,4.58,3.87,65,0.1916,True
vmac,4.2,2.51,75,0.1929,True
vmac,4.2,2.61,53,0.1325,True
vmac,4.23,2.61,25,0.0638,True
vmac,4.41,2.95,7,0.01442,True
vmac,4.25,2.61,26,0.06417,True
vmac,4.59,3.95,55,0.1981,True
vmac,4.59,4.16,70,0.6,True
alpha0,4.66,4.1,59,0.3238,True
alpha0,4.62,4.16,60,0.6,True
alpha0,4.63,3.88,278,0.6,True
alpha0,4.61,4.03,71,0.3459,True
alpha0,4.59,3.95,55,0.1981,True
alpha0,4.59,3.6,96,0.1902,True
alpha0,4.58,3.7,43,0.09639,True
alpha0,4.56,3.74,181,0.4468,True
alpha0,4.55,3.85,262,0.6,True
alpha0,4.56,3.93,77,0.2849,True
alpha0,4.55,3.76,131,0.3325,True
alpha0,4.55,3.58,370,0.6,True
alpha0,4.53,3.59,111,0.238,True
alpha0,4.54,3.9,291,0.6,True
alpha0,4.54,3.99,60,0.3018,True
alpha0,4.54,3.82,332,0.6,True
alpha0,4.54,3.28,134,0.3018,False
alpha0,4.5,3.7,193,0.5141,True
alpha0,4.59,4.16,70,0.6,True
alpha0,4.57,4.15,58,0.6,True
alpha0,4.58,3.87,65,0.1916,True
alpha0,4.55,4.06,53,0.3949,True
alpha0,4.52,3.87,252,0.6,True
alpha0,4.51,3.94,82,0.3641,True
alpha0,4.49,3.85,26,0.08139,True
alpha0,4.49,3.85,101,0.3326,True
alpha0,4.57,4.16,67,0.6,True
alpha0,4.53,4.22,62,0.6,True
alpha0,4.5,4.15,124,0.6,True
alpha0,4.51,4.01,57,0.345,True
alpha0,4.49,4.15,71,0.6,True
alpha0,4.48,4.14,59,0.6,True
alpha0,4.48,4.28,65,0.3018,False
alpha0,4.48,4.12,65,0.6,True
alpha0,4.48,4.04,91,0.6,True
alpha0,4.46,3.31,23,0.04691,True
alpha0,4.47,3.06,33,0.3018,False
alpha0,4.41,2.95,7,0.01442,True
alpha0,4.26,2.44,11,0.02559,True
