# subgrid mass class termination_code min_timestep_limit model_number Xc star_age
LMC/w0.6 M24 fail_pms min_timestep_limit 0.1 6968 9.787995199632568e-07 8912833.99751424
LMC/w0.6 M25 fail_pms min_timestep_limit 0.1 7276 9.946566560061678e-07 8520708.530242993
LMC/w0.6 M30 fail_pms min_timestep_limit 0.1 17584 0.0 8160876.955252188
LMC/w0.6 M40 fail_pms min_timestep_limit 0.1 28412 8.251610981457888e-29 5842049.64169596
LMC/w0.6 M50 fail_pms min_timestep_limit 0.1 42617 0.0 4935302.352248046
LMC/w0.6 M60 running running None 93197 0.0 4604189.1620046785
LMC/w0.6 M80 running running None 102551 0.0 3659471.998669973
LMC/w0.6 M100 running running None 113788 0.0 3258897.836742653
LMC/w0.6 M120 running running None 123916 0.0010937349063326154 2983117.8628046154
SMC/w0.0 M5.0 done done None 2314 0.0 100049018.23798425
SMC/w0.0 M5.2 done done None 2156 0.0 92132483.79041636
SMC/w0.0 M5.4 done done None 2176 0.0 85044297.75985564
SMC/w0.0 M5.6 done done None 2159 0.0 78594122.91496918
SMC/w0.0 M5.8 done done None 2511 0.0 73356993.89551298
SMC/w0.0 M6.0 done done None 2555 0.0 68331462.95754057
SMC/w0.0 M6.5 done done None 2563 0.0 58001522.99145125
SMC/w0.0 M7.0 done done None 2453 0.0 50117271.5382687
SMC/w0.0 M7.5 done done None 2530 0.0 43852047.86309815
SMC/w0.0 M8.0 done done None 2357 0.0 38866425.93174989
SMC/w0.0 M9.0 done done None 2269 0.0 31466650.474402994
SMC/w0.0 M10 done done None 2571 0.0 26375889.52578109
SMC/w0.0 M11 done done None 2588 0.0 22637374.96416162
SMC/w0.0 M12 done done None 1859 0.0 19862948.881602097
SMC/w0.0 M13 done done None 2193 0.0 17642472.503063813
SMC/w0.0 M14 done done None 1783 0.0 15888633.095234348
SMC/w0.0 M15 done done None 1777 0.0 14465029.24006299
SMC/w0.0 M16 done done None 1835 0.0 13331365.421847304
SMC/w0.0 M17 done done None 1945 0.0 12300177.466004165
SMC/w0.0 M18 done done None 2183 0.0 11517330.503342424
SMC/w0.0 M19 done done None 2375 0.0 10765541.444883544
SMC/w0.0 M20 done done None 2625 0.0 10170127.838345656
SMC/w0.0 M21 done done None 2806 0.0 9631360.530480532
SMC/w0.0 M22 done done None 2716 0.0 9180173.878701907
SMC/w0.0 M23 done done None 2951 0.0 8739133.894685924
SMC/w0.0 M24 done done None 3122 0.0 8375455.859137811
SMC/w0.0 M25 done done None 3508 5.605493312329806e-39 8062365.704888654
SMC/w0.0 M30 done done None 4999 0.0 6822108.502750573
SMC/w0.0 M40 done done None 8390 0.0 5453325.761600219
SMC/w0.0 M50 fail_ms min_timestep_limit 0.1 10614 0.04086962737475078 4330582.592229503
SMC/w0.0 M60 fail_pms min_timestep_limit 0.1 13456 1.400345137478944e-25 3901502.562428201
SMC/w0.0 M80 fail_pms min_timestep_limit 0.1 18619 2.8099441166396258e-31 3382445.622231121
SMC/w0.0 M100 fail_pms min_timestep_limit 0.1 22138 0.0 3073204.8329964206
SMC/w0.0 M120 running running None 93129 0.0 3137568.6649865154
SMC/w0.2 M5.0 done done None 2201 0.0 100868866.14649588
SMC/w0.2 M5.2 done done None 2437 0.0 92705527.11756845
SMC/w0.2 M5.4 done done None 2466 0.0 85562110.851378
SMC/w0.2 M5.6 done done None 2221 0.0 79066996.04451104
SMC/w0.2 M5.8 done done None 2381 0.0 73522300.64621715
SMC/w0.2 M6.0 done done None 2437 0.0 68569614.0661816
SMC/w0.2 M6.5 done done None 2523 0.0 58359831.36121824
SMC/w0.2 M7.0 done done None 2449 0.0 50401438.31497868
SMC/w0.2 M7.5 done done None 2511 0.0 44123444.21922136
SMC/w0.2 M8.0 done done None 2198 0.0 39101861.77333826
SMC/w0.2 M9.0 done done None 2259 0.0 31652678.469187595
SMC/w0.2 M10 done done None 2412 0.0 26515144.453088406
SMC/w0.2 M11 done done None 2275 0.0 22800706.601000533
SMC/w0.2 M12 done done None 2060 0.0 19994460.35658288
SMC/w0.2 M13 done done None 1908 0.0 17809848.42786924
SMC/w0.2 M14 done done None 1790 0.0 16041246.76098586
SMC/w0.2 M15 done done None 1726 0.0 14557265.306634115
SMC/w0.2 M16 done done None 2004 0.0 13905934.991672695
SMC/w0.2 M17 fail_pms min_timestep_limit 0.1 2380 0.0 13828307.566956572
SMC/w0.2 M18 done done None 2020 0.0 11576771.254940031
SMC/w0.2 M19 done done None 2586 0.0 11415463.9970395
SMC/w0.2 M20 done done None 2380 0.0 10263503.491389861
SMC/w0.2 M21 fail_pms min_timestep_limit 0.1 4171 0.0 11562042.837990124
SMC/w0.2 M22 done done None 2705 0.0 9219641.265059602
SMC/w0.2 M23 done done None 2958 0.0 8819435.799235923
SMC/w0.2 M24 fail_pms min_timestep_limit 0.1 5382 0.0 10339402.846472794
SMC/w0.2 M25 done done None 3733 0.0 8175793.551335904
SMC/w0.2 M30 fail_pms min_timestep_limit 0.1 6805 0.0 8005563.0000422085
SMC/w0.2 M40 fail_ms min_timestep_limit 0.1 7900 0.09501606805105159 5055212.13093979
SMC/w0.2 M50 fail_ms min_timestep_limit 0.1 11498 0.08904684175152691 4386060.182354804
SMC/w0.2 M60 fail_ms min_timestep_limit 0.1 15116 0.09188303962515726 3955578.8811576166
SMC/w0.2 M80 fail_pms min_timestep_limit 0.1 20749 1.2792700365386247e-23 3422406.49326708
SMC/w0.2 M100 fail_pms min_timestep_limit 0.1 30396 0.0 3403614.6431136634
SMC/w0.2 M120 fail_pms min_timestep_limit 0.1 48610 0.0 3170122.8971067066
SMC/w0.4 M5.0 done done None 2396 0.0 103347985.36206791
SMC/w0.4 M5.2 done done None 2487 1.0344760351996672e-37 95227262.16372044
SMC/w0.4 M5.4 done done None 2553 0.0 88033028.56259263
SMC/w0.4 M5.6 done done None 2340 0.0 81247003.39375752
SMC/w0.4 M5.8 done done None 2183 0.0 75560803.94488631
SMC/w0.4 M6.0 done done None 2467 0.0 70461794.7896528
SMC/w0.4 M6.5 done done None 2227 0.0 59950885.23287746
SMC/w0.4 M7.0 done done None 2508 0.0 51926519.65848506
SMC/w0.4 M7.5 done done None 2397 0.0 45511029.099171594
SMC/w0.4 M8.0 done done None 2199 0.0 40322097.24874454
SMC/w0.4 M9.0 done done None 2266 0.0 32785893.431143668
SMC/w0.4 M10 done done None 2301 0.0 27329859.85680013
SMC/w0.4 M11 done done None 2357 0.0 23363028.748219654
SMC/w0.4 M12 done done None 1986 0.0 20600816.130302317
SMC/w0.4 M13 fail_pms min_timestep_limit 0.1 1204 0.00012120330756042618 16848473.961134326
SMC/w0.4 M14 fail_pms min_timestep_limit 0.1 1276 6.87232716505124e-05 15194682.183800885
SMC/w0.4 M15 fail_pms min_timestep_limit 0.1 1373 9.111042614585714e-05 13851821.543454863
SMC/w0.4 M16 fail_pms min_timestep_limit 0.1 1467 3.161642280250364e-05 12598971.039542954
SMC/w0.4 M17 fail_pms min_timestep_limit 0.1 1599 1.2532273587789008e-05 11721827.226671264
SMC/w0.4 M18 fail_pms min_timestep_limit 0.1 1720 1.9461318293597675e-05 10847845.865218915
SMC/w0.4 M19 fail_pms min_timestep_limit 0.1 1896 2.434829877715611e-05 10298654.701786246
SMC/w0.4 M20 fail_pms min_timestep_limit 0.1 2071 7.545060128963197e-06 9634792.144392747
SMC/w0.4 M21 fail_pms min_timestep_limit 0.1 2361 0.00011796841566088702 9191002.059561977
SMC/w0.4 M22 fail_pms min_timestep_limit 0.1 2492 1.2587313609243792e-05 8737837.092349136
SMC/w0.4 M23 fail_pms min_timestep_limit 0.1 2739 4.7662120709304204e-05 8329342.233411265
SMC/w0.4 M24 fail_pms min_timestep_limit 0.1 3095 3.2092379868204245e-05 7960331.064322529
SMC/w0.4 M25 fail_pms min_timestep_limit 0.1 3562 9.945962758595122e-07 7668962.759615711
SMC/w0.4 M30 fail_ms min_timestep_limit 0.1 5442 0.13374413891609027 6568574.714863997
SMC/w0.4 M40 fail_pms min_timestep_limit 0.1 10302 4.1657917814689484e-18 5375478.852823594
SMC/w0.4 M50 fail_ms min_timestep_limit 0.1 17770 0.06636424370193444 4704079.187974952
SMC/w0.4 M60 fail_ms min_timestep_limit 0.1 23620 0.01411714643693766 4202957.121765527
SMC/w0.4 M80 fail_pms min_timestep_limit 0.1 38978 1.4814222379546386e-18 3780627.254517338
SMC/w0.4 M100 fail_pms min_timestep_limit 0.1 44957 7.123315407789518e-20 3359254.6475913147
SMC/w0.4 M120 running running None 90317 0.0 3263777.7942541176
SMC/w0.6 M5.0 fail_ms min_timestep_limit 0.1 944 0.020508976657273255 96914185.68816395
SMC/w0.6 M5.2 fail_ms min_timestep_limit 0.1 956 0.011524926894660493 90608562.34020758
