id,sector,bic_white,cw_white,bic_slf,nu_slf,a0_slf,g_slf,cw_slf,dbic_slf_vs_white
HD_64568,61,3589.2,1.5226,1093.9,4.7478,4.8666,1.4857,0.32356,2495.3
HD_64568,88,3378,1.2968,706.62,6.3374,3.6023,1.6989,0.29602,2671.4
HD_68450,34,18418,60.231,10549,2.2736,281.24,1.8302,1.4745,7868.8
HD_68450,35,17497,55.029,10796,3.0683,226.97,1.9555,2.2391,6701.8
HD_68450,61,17808,56.889,10567,2.4457,258.67,1.8306,1.7993,7240.5
HD_68450,62,18310,52.445,11106,2.4383,237.96,1.7694,1.7991,7203.6
HD_69106,61,13706,20.71,8204.6,2.6553,87.643,1.5502,0.0017864,5501.1
HD_69106,62,13987,18.294,8433.6,2.7886,76.926,1.5479,0.001441,5553.9
HD_69106,88,15340,19.232,9074.8,2.5414,85.496,1.5419,0.16777,6265.6
HD_69106,89,15817,18.856,9389.2,2.1768,87.695,1.4434,0.00074359,6427.3
HD_69464,8,13888,22.531,5703.3,1.859,120.9,2.1959,1.283,8184.8
HD_69464,35,13693,20.567,4284.3,2.0398,104.97,2.2388,0.64793,9408.6
HD_69464,61,14127,23.083,5574.2,1.4237,143.47,1.8356,0.90123,8552.3
HD_69464,62,13198,16.518,3661.6,2.3742,76.905,2.3718,0.54104,9536.6
HD_74920,8,14956,28.356,8638.3,3.4563,109.58,2.0395,1.5785,6317.3
HD_74920,9,14150,22.539,8091.4,4.2852,77.703,2.1723,1.2632,6058.2
HD_76556,8,14771,27.043,8394.4,2.8184,114.4,1.9472,1.8461,6376.9
HD_90273,9,6591.9,3.2428,2987.2,3.1761,12.777,1.3758,0.28695,3604.7
HD_90273,10,6999.5,3.4359,3194.1,3.3155,13.281,1.4569,0.39062,3805.4
HD_90273,37,6590.6,3.0895,2887.9,3.4815,11.711,1.4174,0.25703,3702.7
HD_91572,36,8686.4,5.6027,4724.9,2.08,26.687,1.2352,0.2616,3961.5
HD_91572,37,8365.5,4.7918,4726.1,3.9578,17.02,1.5138,0.53648,3639.4
HD_91572,63,8738.6,4.765,4877.9,4.187,16.424,1.5882,0.59516,3860.7
HD_91572,64,9283.3,5.2556,4857.1,2.6079,22.671,1.3178,0.0016577,4426.3
HD_91837,10,10282,7.659,4725.6,0.095088,177.02,0.94531,0.93199,5556.8
HD_91837,36,8780.4,5.7392,3015.4,1.2546,35.246,1.3906,0.48727,5765
HD_91837,37,11288,9.871,3294.4,0.02,356.82,0.85134,0.35002,7993.7
HD_91837,63,8839.3,4.8796,3321.8,1.2787,29.618,1.3225,0.51328,5517.5
HD_92504,36,5059.8,2.2129,2516.8,4.0176,7.6865,1.4905,0.54995,2543
HD_92504,37,5826.9,2.5579,2617.2,3.7551,9.2941,1.6311,0.56679,3209.7
HD_92504,63,6353.9,2.7138,2386.1,2.6311,11.902,1.4633,0.46271,3967.8
HD_92504,64,6073.1,2.4894,2371.9,2.7792,10.588,1.4732,0.49458,3701.2
HD_92607,10,7009.5,3.415,3997.8,2.4856,14.877,1.4126,0.90243,3011.7
HD_93190,10,8375.3,4.7838,2597.4,1.3715,29.763,1.7579,0.71783,5777.9
HD_93190,36,8961.6,6.0118,2700.7,1.2202,39.532,1.7016,0.70087,6260.9
HD_93190,37,10439,8.0021,2806.6,0.73495,68.912,1.5961,0.70049,7632.6
HD_93190,63,10420,7.0859,2759.5,1.0464,51.226,1.7724,0.69192,7660
HD_93222,36,9258.5,6.4869,4830.5,2.5946,28.136,1.4628,0.6115,4428
HD_93222,37,9340.9,6.0989,4983.8,2.9433,25.173,1.5246,0.68257,4357.1
HD_93222,63,9966.7,6.3675,5137.6,2.4744,28.457,1.447,0.59343,4829.1
HD_93222,64,9701.6,5.7931,5028.3,2.9255,24.066,1.5015,0.56343,4673.3
HD_93250,36,13603,19.739,8104.9,4.3553,67.463,1.9919,1.0111,5498.1
HD_93250,37,14183,20.197,8456.1,4.253,70.113,1.9984,1.1213,5727.1
HD_93250,63,14160,17.137,8788.3,5.0826,54.63,2.1174,1.3372,5372.1
HD_93250,64,14517,17.773,8592.3,4.9861,57.144,2.1654,1.0957,5925.1
HD_93521,48,16674,32.951,10551,4.9868,106.29,2.147,1.1232,6123.2
HD_93843,10,17122,41.42,10059,2.3845,188.3,1.9069,2.7209,7062.2
HD_93843,11,18243,47.791,10953,1.7736,253.17,1.7625,3.5303,7290.4
HD_93843,63,18441,47.08,10529,1.5262,270.93,1.6469,2.3116,7912
HD_93843,64,17217,33.313,9795.6,2.797,144.08,1.9142,1.5698,7421
HD_94963,63,18350,46.071,10228,2.2442,217.48,1.9954,2.5815,8121.8
HD_94963,64,18430,44.182,9258.3,2.5869,197.81,2.1188,1.3509,9171.3
HD_96715,10,8289.7,4.6839,5444.4,7.0345,12.538,1.7597,0.63226,2845.3
HD_96715,11,8899.2,5.1007,5712.1,5.9977,14.806,1.6437,0.53871,3187.1
HD_96715,37,8560.6,5.0287,5354.9,5.495,15.196,1.6189,0.56476,3205.7
HD_96715,63,8543.3,4.5502,5351.2,6.385,12.845,1.6614,0.39941,3192.1
HD_97253,10,18454,57.549,10519,2.3713,266.41,2.1138,3.2406,7935.7
HD_97253,37,18006,51.983,9017.1,2.7815,229.21,2.3101,1.6115,8989.3
HD_97253,64,18496,44.871,9546.5,3.3647,175.42,2.4732,1.7745,8949.6
HD_97848,10,6771.3,3.2201,2953.9,1.0103,20.955,1.0282,0.27975,3817.5
HD_97848,11,7046.1,3.2727,2998.8,1.381,18.74,1.1472,0.40707,4047.4
HD_97848,37,6799.3,3.2532,2539.1,1.1427,20.775,1.1291,0.31193,4260.2
HD_97848,64,6622.4,2.829,2482.9,1.2252,17.235,1.0988,0.29198,4139.5
HD_99546,10,8348.4,4.7813,4419.5,2.0691,22.731,1.2092,0.24004,3928.8
HD_99546,11,8423.8,4.5518,4420.1,2.0771,21.739,1.2195,0.33566,4003.7
HD_99546,37,7774.9,4.1407,3953.8,3.0973,16.517,1.4083,0.43616,3821.1
HD_99546,64,8385.8,4.2648,4273,3.309,16.499,1.4531,0.4444,4112.9
SS_215,36,3280.2,1.4028,-2016.7,2.0218,7.1182,1.9555,0.21787,5296.9
SS_215,37,3221.1,1.3429,-2211.9,2.739,5.8023,2.2964,0.2103,5433
SS_215,90,3735.5,1.4004,-2545.6,2.3304,6.524,2.1783,0.20822,6281.1
_theta__1__Ori,6,13979,33.773,10276,0.035435,1847.5,0.90924,6.814,3703.5
_theta__1__Ori,32,25902,317.62,19124,0.78259,2687.2,1.3425,22.85,6777.4
_theta__1__Ori,98,33694,34.107,23205,0.071194,1330.8,0.99127,5.2868,10490
_theta__2__Ori,6,12748,23.698,11466,1.8065,105.32,1.4397,13.101,1282.1
_theta__2__Ori,32,15355,24.888,13680,0.20336,320.45,0.8768,12.887,1674.6
_theta__2__Ori,98,33047,31.988,26622,0.02,1627.2,0.77423,9.2415,6424.6
