gaia,sector,Tmag,nu_in,R,a0_in,Af,nu_floor,bic_white,cw_white,bic_slf,nu_slf,a0_slf,g_slf,cw_slf,bic_floor,logk_floor,cw_floor,bic_slf+floor,nu_slf+floor,a0_slf+floor,g_slf+floor,logk_slf+floor,cw_slf+floor,dbic_above_floor,dbic_slf_vs_white
4685959373284393728,28,13.9,0.3,0.5,0.37971,0.75942,0.28674,-4107.2,0.21841,-6728.1,0.47135,2.2331,1.8245,0.10339,-6732.7,0.5361,0.10206,-6721.2,0.48134,2.1423,1.8627,-0.02295,0.10333,-11.545,2620.9
4685959373284393728,28,13.9,0.3,1,0.75942,0.75942,0.28674,-4107.3,0.2184,-6730.3,0.44072,2.3277,1.7761,0.10335,-6735.6,0.53176,0.10209,-6723.3,0.44964,2.2328,1.8117,-0.019196,0.1033,-12.245,2623
4685959373284393728,28,13.9,0.3,2,1.5188,0.75942,0.28674,-3890.7,0.23047,-6692.2,0.54493,2.1877,1.9117,0.10357,-6694.7,0.57852,0.10203,-6685.2,0.55994,2.0945,1.9562,-0.013461,0.10351,-9.5125,2801.4
4685959373284393728,28,13.9,0.3,4,3.0377,0.75942,0.28674,-2912.4,0.29383,-6664.1,0.38493,3.6288,1.8286,0.10374,-6658.5,0.62144,0.10185,-6657.2,0.39735,3.4902,1.8751,0.015986,0.10368,-1.3427,3751.7
4685959373284393728,28,13.9,0.3,8,6.0754,0.75942,0.28674,-475.54,0.53807,-5847.4,0.30931,7.9009,1.488,0.11465,-5852,0.95583,0.11298,-5840.5,0.30987,7.858,1.4899,0.00035035,0.11465,-11.508,5371.9
4685959373284393728,28,13.9,0.3,16,12.151,0.75942,0.28674,1564.9,0.89296,-6021,0.20814,19.93,1.7191,0.11241,-5973.2,1.0045,0.10591,-6025.8,0.53427,8.6411,3.0397,0.78946,0.11052,52.574,7585.9
4685959373284393728,28,13.9,0.7,0.5,0.37971,0.75942,0.28674,-4059,0.22104,-6719.8,0.52182,2.1258,1.8847,0.10333,-6723.5,0.55093,0.10195,-6712.8,0.53148,2.0486,1.919,-0.038925,0.10327,-10.66,2660.8
4685959373284393728,28,13.9,0.7,1,0.75942,0.75942,0.28674,-3953.1,0.22693,-6648,0.69424,1.8474,2.053,0.10423,-6650.3,0.60586,0.10253,-6641,0.71518,1.7649,2.1018,-0.020261,0.10416,-9.2462,2694.9
4685959373284393728,28,13.9,0.7,2,1.5188,0.75942,0.28674,-3071.2,0.28247,-6561.3,0.36136,3.6428,1.5832,0.10409,-6568.1,0.67437,0.10281,-6554.4,0.36559,3.5551,1.5964,0.0086212,0.10408,-13.673,3490
4685959373284393728,28,13.9,0.7,4,3.0377,0.75942,0.28674,-1592.5,0.40776,-6240.4,0.6553,3.8156,1.9258,0.10792,-6232.1,0.88696,0.10426,-6237.7,1.1851,1.8501,3.442,0.72616,0.10658,5.5989,4647.9
4685959373284393728,28,13.9,0.7,8,6.0754,0.75942,0.28674,188.49,0.6345,-5891.2,0.50775,6.8802,1.5646,0.10361,-5892.6,1.1109,0.10096,-5884.3,0.50938,6.8451,1.5661,0.0016529,0.10361,-8.3082,6079.7
4685959373284393728,28,13.9,0.7,16,12.151,0.75942,0.28674,3735.2,1.5305,-4401.2,0.031323,181.63,1.1807,0.10915,-4392.6,1.4572,0.1197,-4394.3,0.031192,182.25,1.1805,-0.0009749,0.10915,1.6834,8136.4
4685959373284393728,28,13.9,1.5,0.5,0.37971,0.75942,0.28674,-4094.4,0.21911,-6684.2,0.37663,2.5775,1.5532,0.10316,-6694.5,0.56716,0.10234,-6677.3,0.38178,2.4779,1.5684,-0.00048432,0.10314,-17.264,2589.8
4685959373284393728,28,13.9,1.5,1,0.75942,0.75942,0.28674,-3891.4,0.23043,-6530.9,0.64848,1.9579,1.5607,0.10269,-6537.9,0.71979,0.10213,-6523.9,0.67067,1.8673,1.5739,-0.00048169,0.1027,-14.012,2639.5
4685959373284393728,28,13.9,1.5,2,1.5188,0.75942,0.28674,-2132.8,0.35658,-6206.6,0.96938,2.6099,1.7543,0.10212,-6201.2,0.98635,0.099702,-6199.7,0.98552,2.5573,1.7638,0.01314,0.10213,-1.4962,4073.8
4685959373284393728,28,13.9,1.5,4,3.0377,0.75942,0.28674,54.402,0.61372,-5686.9,0.90366,4.8165,1.6615,0.10117,-5677.5,1.2292,0.097524,-5679.9,0.90566,4.7997,1.6625,-0.012402,0.10117,2.4637,5741.3
4685959373284393728,28,13.9,1.5,8,6.0754,0.75942,0.28674,2161,1.0354,-4776.8,1.4931,6.2431,1.9202,0.10608,-4709.5,1.5152,0.093305,-4769.9,1.4955,6.2305,1.9213,0.0029045,0.10608,60.428,6937.8
4685959373284393728,28,13.9,1.5,16,12.151,0.75942,0.28674,4595,1.8947,-3559.4,1.4631,11.654,1.8602,0.11023,-3462.7,1.7681,0.083276,-3552.5,1.4637,11.648,1.8604,7.8364e-05,0.11022,89.767,8154.4
4685959373284393728,28,13.9,3,0.5,0.37971,0.75942,0.28674,-3775.3,0.23717,-6398.9,0.35352,2.723,1.1545,0.10009,-6392.8,0.80268,0.10321,-6392.2,2.7984,0.40899,1.7915,0.5884,0.10208,-0.54267,2623.6
