gaia,sector,metric,prewhitened,n_pw,alpha0,nuchar,gamma,Cw,e_alpha0,e_nuchar,e_gamma,e_Cw,dBIC_vs_white,T_span,n_pts,dt_min,pass_nu,pass_bic
4685947553531340800,28,log,True,2,14.979,0.025395,1.3119,0.09619,9.1778,0.01476,0.05333,0.00060695,2087.3,25.236,3449,9.9999,False,True
4685947553531340800,28,lin,False,0,9.668,0.037477,0.89444,0.093554,0.58152,0.0045728,0.017983,0.0027215,10066,25.236,3449,9.9999,False,True
4685947553531340800,28,lin,True,3,6.0423,0.10468,2.0336,0.11855,0.047766,0.0011771,0.021267,0.00065011,30492,25.236,3449,9.9999,False,True
4685947553531340800,67,log,False,0,3.5045,0.43303,1.5537,0.10738,0.32769,0.043983,0.037349,0.00034519,7815.9,27.75,11490,3.3334,True,True
4685947553531340800,67,log,True,2,9.6247,0.10136,1.2962,0.10683,1.8805,0.020912,0.029403,0.00036598,6397.6,27.75,11490,3.3334,False,True
4685947553531340800,67,lin,False,0,53.566,0.02,1.2753,0.1339,1.0686,0.00054738,0.0072813,0.00072736,84740,27.75,11490,3.3334,False,True
4685947553531340800,67,lin,True,5,56.986,0.02,1.3964,0.13277,0.80087,0.00035762,0.0059905,0.00049803,1.1974e+05,27.75,11490,3.3334,False,True
4685959373284393728,28,log,False,0,6.9477,0.38985,2.2102,0.37769,0.71609,0.038257,0.10992,0.0019402,2748.4,25.236,3449,9.9999,True,True
4685959373284393728,28,log,True,1,6.9825,0.38677,2.3209,0.37843,0.71522,0.036654,0.12035,0.0019198,2659.4,25.236,3449,9.9999,True,True
4685959373284393728,28,lin,False,0,12.451,0.23723,1.5488,0.43091,0.18481,0.0062213,0.026235,0.0043695,14792,25.236,3449,9.9999,True,True
4685959373284393728,28,lin,True,0,12.451,0.23723,1.5488,0.43091,0.18481,0.0062213,0.026235,0.0043695,14792,25.236,3449,9.9999,True,True
4685959373284393728,67,log,False,0,7.2233,0.15801,1.5386,0.54909,1.3179,0.034172,0.091649,0.0015106,1348.9,27.75,11443,3.3334,True,True
4685959373284393728,67,log,True,0,7.2233,0.15801,1.5386,0.54909,1.3179,0.034172,0.091649,0.0015106,1348.9,27.75,11443,3.3334,True,True
4685959373284393728,67,lin,False,0,6.2315,0.30525,2.6767,0.65105,0.073387,0.0047709,0.067023,0.0014975,15962,27.75,11443,3.3334,True,True
4685959373284393728,67,lin,True,0,6.2315,0.30525,2.6767,0.65105,0.073387,0.0047709,0.067023,0.0014975,15962,27.75,11443,3.3334,True,True
4685959373284393728,68,log,False,0,45.23,0.070698,1.3724,0.68957,11.701,0.018818,0.046093,0.0020768,3048.2,27.525,11110,3.3333,False,True
4685959373284393728,68,log,True,0,45.23,0.070698,1.3724,0.68957,11.701,0.018818,0.046093,0.0020768,3048.2,27.525,11110,3.3333,False,True
4685959373284393728,68,lin,False,0,128.78,0.02,1.1232,0.80588,3.1708,0.00074873,0.007168,0.0025031,66490,27.525,11110,3.3333,False,True
4685959373284393728,68,lin,True,0,128.78,0.02,1.1232,0.80588,3.1708,0.00074873,0.007168,0.0025031,66490,27.525,11110,3.3333,False,True
4685972636146149504,28,log,False,0,3.1922,0.37694,1.5731,0.058011,0.32312,0.039962,0.037994,0.00043225,7668.7,25.236,3449,9.9999,True,True
4685972636146149504,28,log,True,0,3.1922,0.37694,1.5731,0.058011,0.32312,0.039962,0.037994,0.00043225,7668.7,25.236,3449,9.9999,True,True
4685972636146149504,28,lin,False,0,9.7034,0.064912,0.96753,0.044606,0.19826,0.0027393,0.0090866,0.0015652,26668,25.236,3449,9.9999,False,True
4685972636146149504,28,lin,True,0,9.7034,0.064912,0.96753,0.044606,0.19826,0.0027393,0.0090866,0.0015652,26668,25.236,3449,9.9999,False,True
4685972636146149504,67,log,False,0,4.27,0.35867,1.6571,0.054144,0.39831,0.031508,0.029891,0.00016673,12243,27.75,11490,3.3334,True,True
4685972636146149504,67,log,True,1,4.3781,0.32614,1.7097,0.053648,0.42653,0.029165,0.032656,0.00015942,11084,27.75,11490,3.3334,True,True
4685972636146149504,67,lin,False,0,8.103,0.13047,1.0883,0.054019,0.069897,0.0023317,0.0059169,0.00055558,74019,27.75,11490,3.3334,False,True
4685972636146149504,67,lin,True,1,7.9095,0.13101,1.1584,0.056395,0.052788,0.0017518,0.0052786,0.00041443,91794,27.75,11490,3.3334,False,True
4685976621875402368,28,log,False,0,3.5998,0.20122,1.4232,0.095618,0.54283,0.034484,0.04823,0.00066669,3979.7,25.236,3448,9.9999,True,True
