gaia,sector,Tmag,cls,Af,nu_floor,bic_white,cw_white,bic_slf,nu_slf,a0_slf,g_slf,cw_slf,bic_floor,logk_floor,cw_floor,bic_slf+floor,nu_slf+floor,a0_slf+floor,g_slf+floor,logk_slf+floor,cw_slf+floor,dbic_above_floor,dbic_slf_vs_white
4687167152388524032,27,14.2,SLF,1.4034,0.81815,-4119.6,0.20985,-5287.2,0.71828,1.3778,2.1507,0.14489,-5300.7,-0.055545,0.14495,-5281.3,0.020002,2680.4,4.6265,-0.06584,0.145,-19.328,1167.6
4687167152388524032,28,14.2,SLF,2.9963,0.29271,1657.3,0.91369,-3120.9,0.069003,32.846,1.0018,0.18297,-3091.2,0.81414,0.20611,-3114.1,0.024264,22.49,0.76766,0.59104,0.17101,22.843,4778.2
4687167152388524032,68,14.2,SLF,4.7689,0.34547,-4073.3,0.23974,-5757.5,0.678,1.7266,1.3892,0.14363,-5769.5,-0.25969,0.1425,-5758.8,3.7328,0.2265,10,-0.34555,0.143,-10.67,1684.3
4687426087389568768,28,14,SLF,2.4416,0.29271,-3852.7,0.23266,-4882.9,1.5563,0.97538,2.3853,0.16318,-4871.8,0.23587,0.16224,-4875.5,1.7788,0.8242,2.6863,-0.34452,0.16323,3.7581,1030.3
4687426087389568768,67,14,SLF,3.1274,0.22745,-5073.5,0.19276,-6373.9,0.26768,2.1708,1.1552,0.1301,-6382,0.018916,0.13183,-6367.3,0.13255,0.36518,0.3,-0.02964,0.11297,-14.669,1300.3
4687426087389568768,68,14,SLF,3.442,0.34547,-4819,0.20234,-6031.8,0.71521,1.3066,1.6941,0.14123,-6040.4,-0.27247,0.13923,-6024.2,1.1874,0.63204,2.7227,-0.40709,0.1404,-16.129,1212.8
4687437254305162880,27,13.5,SLF,1.0977,0.81815,-2182.8,0.34535,-6645.6,0.40378,4.0776,1.7313,0.09477,-6648.9,0.32849,0.095561,-6642.5,0.24948,4.2911,10,0.27609,0.09584,-6.3976,4462.8
4687437254305162880,28,13.5,SLF,2.1462,0.29271,-982.86,0.47439,-6227,0.47324,5.2719,2.0658,0.11266,-6206.5,0.35782,0.1094,-6220.6,0.56485,4.4219,2.3905,-0.0069487,0.11216,14.072,5244.1
4687437254305162880,67,13.5,SLF,3.1962,0.22745,1804,0.9098,-5983.2,0.092852,37.446,1.4525,0.12987,-5963.4,0.46149,0.12764,-5976.2,0.092181,37.678,1.4766,-0.010285,0.12983,12.758,7787.2
4687437254305162880,68,13.5,SLF,3.3579,0.34547,-1561.9,0.42448,-6756.3,0.31367,6.0484,1.4148,0.10537,-6738.9,0.041029,0.10089,-6749.2,0.39405,4.8116,1.6272,-0.18568,0.10466,10.379,5194.4
