metric,prewhitened,qty,gaia,sector,lT,lL,ours,theirs,n_cand,n_pw,nuchar,diff
lin,True,nu,4689062298150064640,28,4.4281,5.2800,-0.3926,-0.2403,1,1,0.4050,-0.1523
lin,True,nu,4690506712804881792,67,4.3747,4.8700,-0.3664,-0.5398,1,7,0.4301,0.1734
lin,True,nu,4690507881037706112,28,4.1303,4.7700,-0.4666,-0.5050,1,5,0.3415,0.0384
lin,True,nu,4690507881037706112,67,4.1303,4.7700,0.0308,-0.6381,1,0,1.0734,0.6689
lin,True,nu,4690516677131714432,28,4.5527,6.1200,-0.1385,-0.1643,1,0,0.7270,0.0258
lin,True,nu,4690516677131714432,67,4.5527,6.1200,-0.2734,-0.4623,1,0,0.5329,0.1889
lin,True,nu,4690516677131714432,68,4.5527,6.1200,-0.2024,-0.6368,1,1,0.6275,0.4344
lin,True,nu,4690520387983090432,67,4.3483,5.5500,-0.4411,-0.5978,2,0,0.3622,0.1567
lin,True,nu,4690520387983090432,68,4.3483,5.5500,-0.6995,-0.4811,1,0,0.1998,-0.2184
lin,True,a,4685835884339219456,68,4.2279,5.5500,2.0887,2.0387,1,0,0.1725,0.0500
lin,True,a,4685945010910000640,68,4.1761,4.8000,1.1640,1.4150,1,0,0.8734,-0.2510
lin,True,a,4685947553531340800,28,4.5763,6.1100,2.5743,1.2846,1,2,0.0200,1.2897
lin,True,a,4685976621875402368,28,4.1303,4.8700,1.4210,1.2023,1,0,0.2654,0.2187
lin,True,a,4685976621875402368,67,4.1303,4.8700,2.1071,1.3730,1,0,0.0200,0.7341
lin,True,a,4685983420730442624,28,4.2480,5.4500,1.9761,1.7401,1,0,0.1812,0.2360
lin,True,a,4685983420730442624,67,4.2480,5.4500,1.7046,1.9357,2,0,0.3488,-0.2311
lin,True,a,4685983420730442624,68,4.2480,5.4500,2.8309,2.3779,1,0,0.0200,0.4530
lin,True,a,4686413230999834496,27,4.5024,5.1600,0.8636,0.7135,1,0,0.2721,0.1501
lin,True,a,4686413437158238208,28,4.4281,5.9800,1.6161,1.6908,1,0,0.5018,-0.0747
lin,True,a,4686413540237697408,28,4.2480,4.5000,1.0972,0.8878,1,0,0.1919,0.2094
lin,True,a,4686414467950355072,27,4.4281,5.6100,1.3556,1.4279,1,0,0.3282,-0.0723
lin,True,a,4687165125163949952,27,4.3747,5.3400,0.8971,1.2632,1,0,0.7453,-0.3661
lin,True,a,4687167152388524032,27,4.4518,5.2300,0.9245,0.8384,1,0,0.6805,0.0861
lin,True,a,4687478138084449536,67,4.4281,5.7800,1.6120,2.0971,3,0,0.2961,-0.4851
lin,True,a,4687485491055825536,27,4.2788,5.4600,1.5189,1.4855,1,4,0.4889,0.0334
lin,True,a,4687485491055825536,28,4.2788,5.4600,2.1741,2.2396,1,1,0.2015,-0.0655
lin,True,a,4687501953697501568,28,4.4757,5.2800,1.3873,1.3587,1,13,0.6598,0.0286
lin,True,a,4687501953697501568,68,4.4757,5.2800,1.2080,1.6824,1,19,0.5985,-0.4744
lin,True,a,4687509749039520768,67,4.4281,5.4100,2.2584,1.8566,1,0,0.0200,0.4018
lin,True,a,4687509749039520768,68,4.4281,5.4100,1.2481,1.7260,1,0,0.4314,-0.4780
lin,True,a,4687512948804514176,28,4.1987,4.6800,2.8720,1.4672,1,0,0.0200,1.4048
lin,True,a,4687512948804514176,67,4.1987,4.6800,1.3268,1.5089,1,0,0.6016,-0.1820
lin,True,a,4687513910877142528,27,4.5276,5.3900,0.4475,0.7199,1,9,2.1014,-0.2724
lin,True,a,4687513910877142528,28,4.5276,5.3900,0.4470,0.9059,1,14,0.8157,-0.4589
lin,True,a,4687513910877142528,67,4.5276,5.3900,1.1147,1.4302,1,0,1.3412,-0.3155
lin,True,a,4687513910877142528,68,4.5276,5.3900,1.5026,1.2994,1,1,1.0061,0.2032
lin,True,a,4688978838366817280,27,4.4757,5.9000,1.3639,1.4773,1,0,0.6441,-0.1134
lin,True,a,4688978838366817280,68,4.4757,5.9000,1.4805,1.6841,1,2,0.4230,-0.2036
lin,True,a,4688980414561766016,27,4.1038,4.8600,1.4822,1.0064,1,0,0.0869,0.4758
lin,True,a,4689003027613801216,67,4.3747,5.6500,2.3691,1.5497,1,0,0.0547,0.8193
lin,True,a,4689003027613801216,68,4.3747,5.6500,1.6067,1.7294,1,0,0.4230,-0.1227
lin,True,a,4689037181200454656,67,4.2742,4.8700,2.2212,1.8393,2,0,0.2382,0.3819
lin,True,a,4689054945164735616,27,4.3747,5.5400,1.1753,1.7641,1,0,0.4656,-0.5888
lin,True,a,4689054945164735616,67,4.3747,5.5400,1.3227,1.4925,1,0,0.4134,-0.1698
lin,True,a,4689062298150064640,28,4.4281,5.2800,1.3334,1.1249,1,1,0.4050,0.2085
lin,True,a,4689062298150064640,67,4.4281,5.2800,1.6921,1.6225,1,3,0.1638,0.0697
lin,True,a,4690503826587160832,28,4.3766,5.7900,1.9009,2.0552,1,4,0.4393,-0.1543
lin,True,a,4690503826587160832,67,4.3766,5.7900,1.4604,1.8524,1,7,0.6404,-0.3920
lin,True,a,4690506712804881792,67,4.3747,4.8700,1.3933,1.4213,1,7,0.4301,-0.0280
lin,True,a,4690507881037706112,28,4.1303,4.7700,0.8107,1.1232,1,5,0.3415,-0.3125
lin,True,a,4690507881037706112,67,4.1303,4.7700,0.9712,1.5958,2,0,1.0734,-0.6246
lin,True,a,4690516677131714432,28,4.5527,6.1200,1.5518,1.6748,1,0,0.7270,-0.1230
lin,True,a,4690516677131714432,67,4.5527,6.1200,1.6929,1.9224,1,0,0.5329,-0.2295
lin,True,a,4690516677131714432,68,4.5527,6.1200,1.5726,2.0206,1,1,0.6275,-0.4480
lin,True,a,4690520387983090432,68,4.3483,5.5500,2.0656,1.8592,1,0,0.1998,0.2064
