gaia,sector,Tmag,cls,Af,nu_floor,bic_white,cw_white,bic_slf,nu_slf,a0_slf,g_slf,cw_slf,bic_floor,logk_floor,cw_floor,bic_slf+floor,nu_slf+floor,a0_slf+floor,g_slf+floor,logk_slf+floor,cw_slf+floor,dbic_above_floor,dbic_slf_vs_white,id,lT,lL,logR_exp
4687509749039520768,68,13.4,SLF,2.728,0.3455,-5629,0.1683,-7857,0.4336,1.664,1.271,0.08743,-7870,-0.1758,0.08674,-7850,0.5908,0.7768,1.478,-0.2452,0.08718,-20.52,2228,GAIA DR3 4687509749039520768,4.428,3.983,-0.3807
4687513910877142528,27,14.1,none,0.5448,0.7146,-6743,0.1069,-7524,2.422,0.3213,4.578,0.07948,-7456,0.4673,0.0799,-7515,2.464,0.3108,4.749,-0.5153,0.07949,59.38,780.5,GAIA DR3 4687513910877142528,4.528,3.811,-0.6472
4687513910877142528,28,14.1,none,1.264,0.2867,-6356,0.125,-6813,0.8318,0.4878,10,0.1077,-6809,-0.02552,0.1061,-6807,0.8318,0.4305,10,-0.3846,0.1072,-2.671,457.2,GAIA DR3 4687513910877142528,4.528,3.811,-0.9174
4687513910877142528,67,14.1,none,2.241,0.2089,-1398,0.4382,-5282,1.087,3.001,1.821,0.1432,-5270,0.7292,0.139,-5275,1.129,2.868,1.847,-0.0797,0.1432,4.964,3884,GAIA DR3 4687513910877142528,4.528,3.811,-1.162
4687513910877142528,68,14.1,none,2.001,0.3005,-1469,0.4336,-6826,1.058,3.094,1.695,0.09174,-6788,0.4806,0.0845,-6819,1.079,3.006,1.718,-0.1876,0.09154,30.25,5358,GAIA DR3 4687513910877142528,4.528,3.811,-1.166
4688978838366817280,27,12.7,SLF,2.364,0.8182,-1414,0.4209,-4721,0.76,3.447,1.926,0.1547,-4726,0.2142,0.1566,-4714,0.8225,1.296,1.437,0.1132,0.1537,-12.01,3307,GAIA DR3 4688978838366817280,4.476,3.984,-0.02469
4688978838366817280,28,12.7,SLF,4.29,0.2927,-875,0.4873,-5569,0.3358,6.44,1.44,0.1242,-5582,0.2044,0.1236,-5563,1.682,0.616,3.359,0.1746,0.1241,-19.37,4694,GAIA DR3 4688978838366817280,4.476,3.984,-0.2949
4688978838366817280,67,12.7,SLF,7.582,0.2275,-1637,0.4185,-5865,0.5674,4.185,1.489,0.1295,-5872,0.1262,0.1283,-5860,1.821,0.968,4.748,0.05431,0.1302,-12.9,4227,GAIA DR3 4688978838366817280,4.476,3.984,-0.5399
4688978838366817280,68,12.7,SLF,7.537,0.3455,-1434,0.437,-4739,0.6704,3.721,1.602,0.1747,-4733,-0.2179,0.1699,-4729,0.7179,3.277,1.696,-0.5533,0.174,-3.895,3305,GAIA DR3 4688978838366817280,4.476,3.984,-0.5439
4689003027613801216,28,12.9,SLF,3.449,0.2927,93.76,0.6198,-5430,0.04515,50.4,1.318,0.1338,-5426,0.2355,0.1328,-5425,0.33,7.391,2.951,0.1573,0.1343,-1.187,5524,GAIA DR3 4689003027613801216,4.375,3.99,0.1829
4689003027613801216,67,12.9,SLF,6.444,0.2275,-65.22,0.5967,-4504,0.3541,7.355,1.26,0.1698,-4507,0.3497,0.1728,-4500,2.113,1.168,1.779,0.1502,0.1729,-6.837,4439,GAIA DR3 4689003027613801216,4.375,3.99,-0.06211
4689003027613801216,68,12.9,SLF,6.437,0.3455,-1187,0.4623,-5843,0.2264,8.066,1.29,0.1303,-5836,-0.1883,0.127,-5836,0.5242,3.501,5.054,-0.2316,0.1283,-0.3182,4656,GAIA DR3 4689003027613801216,4.375,3.99,-0.06612
4689037181200454656,27,13.8,binary/rot,0.8148,0.8182,-3740,0.2314,-6913,0.06639,18.02,1.796,0.09702,-6836,0.1288,0.09613,-6927,0.2585,3.404,10,-0.3494,0.09701,91.38,3173,GAIA DR3 4689037181200454656,4.274,3.798,0.5879
4689037181200454656,28,13.8,binary/rot,1.524,0.2927,-5710,0.1467,-7668,0.2513,2.229,2.187,0.08616,-7651,-0.0923,0.085,-7664,0.3786,1.409,5.349,-0.3456,0.08571,12.14,1957,GAIA DR3 4689037181200454656,4.274,3.798,0.3176
4689037181200454656,67,13.8,binary/rot,2.767,0.2275,3632,1.374,-5156,0.0598,93.14,1.424,0.1508,-5131,0.6898,0.1472,-5149,0.06201,89.54,1.435,-0.007189,0.1509,18.36,8788,GAIA DR3 4689037181200454656,4.274,3.798,0.07264
4689037181200454656,68,13.8,binary/rot,2.652,0.3455,-4778,0.2042,-6346,0.05837,6.027,0.9386,0.1261,-6358,-0.1405,0.1278,-6342,0.2557,1.661,10,-0.1659,0.1282,-15.84,1568,GAIA DR3 4689037181200454656,4.274,3.798,0.06863
4689054945164735616,27,12.8,SLF,1.891,0.8182,582,0.7032,-1412,0.4099,7.402,2.213,0.3959,-1398,0.2765,0.3941,-1404,0.4067,7.037,2.463,-0.09197,0.3959,6.085,1994,GAIA DR3 4689054945164735616,4.375,4.16,0.6979
4689054945164735616,28,12.8,SLF,3.497,0.2927,8026,4.441,3534,0.09987,137.4,1.167,1.167,3533,1.266,1.191,3541,0.09959,137.5,1.167,-0.002326,1.167,-8.007,4492,GAIA DR3 4689054945164735616,4.375,4.16,0.4277
4689054945164735616,67,12.8,SLF,5.961,0.2275,-372.3,0.5568,-3075,0.1888,9.417,1.149,0.2603,-3082,0.2643,0.2646,-3082,3.434,0.53,10,0.1187,0.2657,0.09824,2702,GAIA DR3 4689054945164735616,4.375,4.16,0.1827
