sector,qty,side,y,x,area,n_merged
67,a,T,1.2381,4.3527,45.0000,1
67,a,T,1.0850,3.9777,45.0000,1
67,a,T,1.0572,3.9777,265.0000,1
67,a,L,2.1256,5.7805,45.0000,1
67,a,L,2.0971,5.7805,255.0000,1
67,a,L,2.0773,5.5117,347.0000,1
67,a,L,2.0041,5.5376,50.0000,1
67,a,L,2.0041,5.5659,50.0000,1
67,a,L,1.9642,5.4516,45.0000,1
67,a,L,1.9357,5.4516,255.0000,1
67,a,L,1.9239,6.1178,320.0000,1
67,a,L,1.9397,6.1267,40.0000,1
67,a,L,1.8566,5.4115,347.0000,1
67,a,L,1.8531,5.7885,310.0000,1
67,a,L,1.8671,4.8706,45.0000,1
67,a,L,1.8393,4.8706,265.0000,1
67,a,L,1.8373,6.1081,231.0000,1
67,a,L,1.8410,5.8079,41.0000,1
67,a,L,1.8292,4.7805,45.0000,1
67,a,L,1.8007,4.7805,255.0000,1
67,a,L,1.7884,5.9294,211.0000,1
67,a,L,1.7637,5.9441,55.0000,1
67,a,L,1.7319,5.8981,118.0000,1
67,a,L,1.7140,4.4098,45.0000,1
67,a,L,1.6862,4.4098,265.0000,1
67,a,L,1.6220,5.2800,421.0000,2
67,a,L,1.5954,4.7705,45.0000,1
67,a,L,1.5676,4.7705,265.0000,1
67,a,L,1.5756,5.6519,45.0000,1
67,a,L,1.5641,4.2112,45.0000,1
67,a,L,1.5471,5.6519,255.0000,1
67,a,L,1.5363,4.2112,265.0000,1
67,a,L,1.5079,4.6767,317.0000,1
67,a,L,1.4925,5.5417,150.0000,1
67,a,L,1.4379,4.2613,492.0000,2
67,a,L,1.4302,5.3915,347.0000,1
67,a,L,1.4249,4.8707,485.0000,2
67,a,L,1.3730,4.8706,352.0000,1
67,a,L,1.2721,5.6619,347.0000,1
67,a,L,1.2727,5.2813,45.0000,1
67,a,L,1.2447,5.2810,270.0000,1
67,a,L,1.0850,4.4399,45.0000,1
67,a,L,1.0572,4.4399,265.0000,1
68,nu,T,-0.3474,3.8062,825.0000,1
68,nu,T,-0.4655,4.3745,762.0000,1
68,nu,T,-0.4811,4.3480,825.0000,1
68,nu,T,-0.5116,4.3527,576.0000,1
68,nu,T,-0.5465,3.8598,57.0000,1
68,nu,T,-0.5606,3.8614,442.0000,1
68,nu,T,-0.5767,4.4659,410.0000,1
68,nu,T,-0.5936,4.2737,825.0000,1
68,nu,T,-0.6296,4.4753,1266.0000,2
68,nu,T,-0.6327,3.8061,795.0000,1
68,nu,T,-0.6368,4.5525,825.0000,1
68,nu,T,-0.6359,3.9777,423.0000,1
68,nu,T,-0.6670,4.5272,825.0000,1
68,nu,T,-0.6698,4.1758,825.0000,1
68,nu,T,-0.6821,4.3745,825.0000,1
68,nu,T,-0.7543,3.9294,456.0000,1
68,nu,T,-0.7678,4.4282,517.0000,1
68,nu,T,-0.8062,4.2277,825.0000,1
68,nu,T,-0.9270,4.2478,825.0000,1
68,nu,L,-0.3474,4.7104,825.0000,1
68,nu,L,-0.4647,5.6519,825.0000,1
68,nu,L,-0.4811,5.5518,825.0000,1
68,nu,L,-0.5116,5.2613,576.0000,1
68,nu,L,-0.5566,4.3397,825.0000,1
68,nu,L,-0.5792,5.5117,825.0000,1
68,nu,L,-0.5936,4.8706,825.0000,1
68,nu,L,-0.6252,5.2813,825.0000,1
68,nu,L,-0.6309,4.7983,494.0000,1
68,nu,L,-0.6341,5.9007,825.0000,1
68,nu,L,-0.6368,6.1215,802.0000,1
68,nu,L,-0.6359,4.4098,423.0000,1
68,nu,L,-0.6670,5.3915,825.0000,1
68,nu,L,-0.6698,4.8005,825.0000,1
68,nu,L,-0.6821,5.3414,825.0000,1
68,nu,L,-0.7543,4.2613,456.0000,1
68,nu,L,-0.7706,5.4115,825.0000,1
68,nu,L,-0.8062,5.5518,825.0000,1
68,nu,L,-0.9270,5.4516,825.0000,1
68,a,T,2.3779,4.2478,825.0000,1
68,a,T,2.0354,4.2277,825.0000,1
68,a,T,2.0239,3.9294,825.0000,1
68,a,T,2.0206,4.5525,825.0000,1
68,a,T,1.8675,3.8062,825.0000,1
68,a,T,1.8592,4.3480,825.0000,1
68,a,T,1.7607,4.4693,811.0000,1
68,a,T,1.7258,4.4282,798.0000,1
68,a,T,1.7259,4.3745,587.0000,1
68,a,T,1.6838,4.4754,970.0000,1
68,a,T,1.6435,3.8061,791.0000,1
68,a,T,1.6134,4.3745,201.0000,1
68,a,T,1.5824,4.3786,63.0000,1
68,a,T,1.5824,4.3705,63.0000,1
68,a,T,1.4575,4.3527,825.0000,1
68,a,T,1.4147,4.1758,825.0000,1
68,a,T,1.4114,3.9777,825.0000,1
68,a,T,1.4060,3.8598,798.0000,1
68,a,T,1.2994,4.5272,825.0000,1
68,a,T,1.2620,4.2717,358.0000,1
68,a,L,2.3779,5.4516,825.0000,1
68,a,L,2.0420,5.5518,513.0000,1
68,a,L,2.0239,4.2613,825.0000,1
