483 tables in 370 catalogs
I/221/lmc                    (1) [Magellanic Cloud] The Large Magellanic Cloud ( Tucholke H.-J., de Boer K.S., Seitter W.C.)
J/A+A/691/A233               (2) [TESS] TESS Simple Aperture Photometry (SAP) of TOI-5005 (Sectors 12, 39, and 65) ( Castro-Gonzalez A., Lillo-Box J.,
J/A+A/691/A242               (2) [TESS] TESS_OBAF_EB_catalogue (partial) ( IJspeert L.W., Tkachenko A., Johnston C., Aerts C.s)
J/A+A/693/A144               (1) [TESS] WASP-132 TESS photometry data ( Grieves N., Bouchy F., Armstrong J.D., et al.)
J/A+A/693/A268               (2) [TESS] Variability of 63 confirmed hot subdwarfs identified from Gaia and TESS ( Ranaivomanana P., Uzundag M., Johnst
J/A+A/693/A66                (1) [TESS] Asteroid rotation periods from TESS ( Vavilov D., Carry B.)
J/A+A/693/A90                (1) [TESS] Polynomial detrending applied to TESS LCs ( Bonfanti A., Amateis I., Gandolfi D., et al.)
J/A+A/695/A198               (5) [XShootU] References ( Bestenlehner J.M., Crowther Paul A., Hawcroft C., Sana H., Tramper F., Vink J.S., Brands S.A., Sa
J/A+A/696/A28                (2) [TESS] TESS photometry and model fits for TOI-238 ( Egger J.A., Kubyshkina D., Alibert Y., et al.)
J/A+A/697/A114               (2) [OB stars] Stellar and wind parameters of OB stars with surface gravities below log(g/(cm/s^2^))<3.8 ( Pauli D., Oskinova
J/A+A/698/A105               (1) [TESS] TESS light curves ( Yuk H., Dai X.)
J/A+A/698/A180               (1) [TESS] Table of TESS sector activity ( Galletta G., Colombo S., Prisinzano L., Micela G.)
J/A+A/698/A253               (1) [TESS] Observational properties of beta Cephei stars observed with Gaia and TESS ( Fritzewski D.J., Vanrespaille M., 
J/A+A/699/A150               (2) [TESS] TESS light curves ( Deline A., Cubillos P.E., Carone L., et al.)
J/A+A/699/A322               (2) [TESS] Parameters of flare events from TESS ( Xu L., Zhang L., Wang Y., Su T., Han X.L., Misra P., Shu A., Pi Q.)
J/A+A/699/A344               (1) [TESS] TESS PDCSAP photometry of K2-157 (Sector 46) ( Castro-Gonzalez A., Bouchy F., Correia A.C.M., et al.)
J/A+A/700/A5                 (1) [TESS] TESS photometry of KELT-7 ( Garai Z., Krenn A., Cubillos P.E., et al.)
J/A+A/701/A297               (2) [micro-turbulen,spectroscopic luminosity] Effective temperature, surface equatorial gravity, micro-turbulent velocity and spectroscopic luminosity of no
J/A+A/702/A85                (1) [TESS] TESS light curve ( Zuniga-Fernandez S., Pozuelos F.J., Devora-Pajares M., et al.)
J/A+A/703/A166               (1) [TESS] properties and period search results for 95 polars with TESS 2-minute cadence light ( Hernandez-Diaz S., Stelz
J/A+A/703/A175               (1) [O-type stars] Galactic O-type stars calibrator with spectroscopic and fundamental parameters available ( Holgado G., Simon-D
J/A+A/704/A154               (2) [TESS] Summary of TESS observations of flaring targets ( Rajpurohit A.S., Kumar V., Srivastava M.K., Labadie L., Rajp
J/A+A/704/A44                (1) [Magellanic Cloud] Observational data for Magellanic Cloud stars ( Montelius M., Starkenburg E., Woudenberg H., Angrilli Muglia A
J/A+A/704/L13                (1) [TESS] The photometric signals detected in the TESS light curve ( Vandersnickt J., Vanlaer V., Vanrespaille M., Aerts
J/A+A/705/A5                 (1) [TESS] TTV analysis results for TESS TOIs ( Naponiello L.)
J/A+A/706/A200               (1) [TESS] TESS data (table A2) ( Checha V.A., Aret A., Kolka I., Liimets T., Araya I., Christen A., Avila Marin G.F., Le
J/A+A/707/A204               (1) [BLOeM] Projected rotational velocities of BLOeM stars ( Lennon D.J., Berlanas S.R., Herrero A.D., et al.)
J/A+A/707/A238               (1) [TESS] Transit data from TESS ( Tas K.H., Stefansson G., Fariz S.N.M., et al.)
J/A+A/707/A73                (2) [TESS] TESS photometry of TOI-3288 A extracted with optimized apertures to reduce contamination (Sectors 13, 27, and 
J/A+A/708/A343               (1) [B supergiant,Magellanic Cloud] B supergiants in the Large Magellanic Cloud ( Kalari V.M., Vink J.S., Furey C., Salinas R., Udalski A., Pawlak
J/A+A/710/A164               (1) [TESS] Rotation periods from TESS photometry ( Frasca A., Qin M., Alonso-Santiago J., Catanzaro G., Fu J.N., Zhang J.
J/A+A/710/A352               (1) [TESS] Complete validation sample. T10 systems meeting criteria, 16 TESS-detectable planets, 100% recovery. LHS 1140 
J/A+A/712/A142               (8) [TESS] TESS LC, transit window near BTJD 1336 ( Reller P., Brahm R., Merin B., et al.)
J/A+AS/105/305               (1) [OB stars] Catalog of spectra included in the High-dispersion microfiche atlas of OB stars ( Bohlin R.C., Henrichs H.F., 
J/A+AS/116/447               (1) [Magellanic Cloud] Comparison of the ellipticities of globulars in M31, Milky Way Galaxy, and Magellanic Clouds ( Staneva A., Spa
J/A+AS/122/463               (2) [Magellanic Cloud] Magellanic Cloud periphery carbon stars ( Kunkel W.E., Irwin M.J., Demers S.)
J/A+AS/24/35                 (1) [Magellanic Cloud] Catalogue of A-F supergiants in the Large Magellanic Cloud, with astrometric counterparts ( Stock J., Osborn W
J/A+AS/91/171                (1) [Magellanic Cloud] Blue stars between Magellanic Clouds. ( DEMERS S., IRWIN M.J.)
J/AJ/106/591                 (1) [early-type stars] Catalog of early-type stars ( Rodgers A.W., Roberts W.H., Walker I.)
J/AJ/119/2214                (1) [Magellanic Cloud] Catalog of Photometry and spectroscopy of 19 Magellanic Cloud OB associations ( Massey P., Waterhouse E., DeGi
J/AJ/123/855                 (1) [Magellanic Cloud] MCPS Catalog (Small Magellanic Cloud) ( Zaritsky D., Harris J., Thompson I.B., Grebel E.K., Massey P.)
J/AJ/128/1606                (1) [Magellanic Cloud] The MCPS Catalog for the Large Magellanic Cloud ( Zaritsky D., Harris J., Thompson I.B., Grebel E.K.)
J/AJ/132/1100                (1) [OB stars] Candidate OB stars in RCW 38 ( Wolk S.J., Spitzbart B.D., Bourke T.L., Alves J.)
J/AJ/134/1963                (1) [Magellanic Cloud] Basic data for the elcipsing binaries in the  Magellanic Clouds ( Faccioli L., Alcock C., Cook K., Prochter G.
J/AJ/138/1003                (2) [massive stars] Catalog of spectral types for 1750 LMC massive stars ( Bonanos A.Z., Massa D.L., Sewilo M., Lennon D.J., Panag
